,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,1.0,0.57,0.96,1.0,0.95,1.0,1.0,0.93,0.42,0.73,0.64,1.0,0.83,0.74,0.75,0.5,0.97,1.0
dvd-create.csv,0.3,0.71,0.65,0.92,0.6,0.82,0.91,0.94,0.81,0.86,0.84,0.67,0.74,0.51,0.96,0.69,0.62,0.82
echongl.csv,0.91,0.6,0.74,0.83,0.86,0.71,1.0,0.8,0.9,0.29,0.68,0.6,0.72,0.6,0.98,0.59,0.63,0.82
empserver.csv,0.58,0.78,0.7,1.0,0.86,0.47,0.81,0.88,0.63,0.92,0.76,0.56,0.82,0.68,0.78,0.67,0.56,0.69
gdis.csv,0.45,0.51,0.72,1.0,0.51,0.68,0.57,0.66,0.52,0.59,0.68,0.18,0.87,0.52,0.87,0.55,0.6,0.55
gmerlin.csv,0.95,1.0,1.0,1.0,0.49,0.75,0.8,1.0,0.83,0.97,0.89,0.55,0.58,0.6,1.0,1.0,0.9,1.0
growl-for-windows.csv,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.85,1.0,0.75,1.0,1.0,1.0,0.35,0.47,1.0,0.68
mpgravity.csv,0.69,0.48,0.66,0.33,0.99,0.85,0.88,0.94,0.75,1.01,0.96,0.45,0.75,0.68,0.67,0.73,0.56,0.73
myfaces.csv,0.69,0.49,0.6,0.46,0.34,0.67,0.76,0.8,0.8,0.49,0.85,0.36,0.71,0.58,0.87,0.5,0.77,0.6
nativeclient.csv,0.5,0.45,0.91,0.88,0.58,0.59,0.59,0.93,0.63,0.84,0.7,0.51,0.75,0.59,0.85,0.44,0.45,0.59
passwordsafe.csv,0.58,0.42,0.52,0.44,0.98,0.88,0.68,0.75,0.67,0.95,0.58,0.42,0.66,0.36,0.79,0.52,0.58,0.58
phonon-vlc-mplayer.csv,0.7,0.21,0.59,0.75,0.63,0.56,0.67,0.9,0.58,0.7,0.46,0.5,0.78,0.41,0.79,0.36,0.53,0.65
ppcboot.csv,0.84,0.78,0.8,1.0,1.0,0.91,0.5,0.92,0.96,1.0,0.73,0.7,0.88,0.85,0.8,0.67,0.86,0.93
rtrt-on-gpu.csv,0.98,1.06,0.86,0.83,0.75,0.97,0.91,0.41,0.96,0.73,0.78,0.81,0.76,0.88,0.56,0.93,0.93,0.72
sandiaportals.csv,0.68,0.27,0.6,0.75,0.96,0.64,0.51,0.71,0.63,0.86,0.63,0.61,0.73,0.48,0.4,0.25,0.53,0.63
tktoolkit.csv,0.47,0.71,0.56,0.7,0.47,0.72,0.77,0.78,0.91,0.9,0.61,0.7,0.79,0.54,0.77,0.5,0.62,0.92
ultimairis.csv,0.64,0.29,1.0,0.83,0.88,0.64,0.65,0.9,0.62,0.52,0.46,0.53,0.87,0.46,0.53,0.4,0.57,0.62
wikipediardware.csv,0.57,0.77,0.77,0.8,0.83,0.98,0.7,0.67,0.73,0.98,0.9,0.55,0.83,0.76,0.91,0.5,0.75,0.37
