,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.62,1.0,0.73,0.68,0.48,0.86,0.33,0.86,0.8,0.44,0.47,0.95,0.21,0.89
chrysalis.csv,0.54,0.58,0.73,0.64,0.62,0.0,0.67,0.74,0.21,0.56,0.58,0.1,0.86,0.96
etics.csv,1.0,0.5,0.18,0.77,0.52,0.43,0.67,0.4,0.62,0.19,0.64,0.46,0.86,0.78
flexpay.csv,0.15,0.76,0.0,0.68,0.81,0.43,0.67,0.95,0.98,0.88,0.33,0.0,0.71,0.63
ifmo-game-1.csv,0.0,0.07,0.27,0.05,0.0,1.0,0.0,0.05,0.04,0.0,0.03,0.67,0.0,0.0
jcl.csv,0.08,0.02,0.18,0.23,0.38,0.14,0.33,0.05,0.1,0.0,0.17,0.0,1.0,0.07
linuxsh.csv,0.77,0.37,1.0,0.32,0.62,0.57,0.67,0.6,0.46,0.44,0.75,0.78,0.36,0.52
mvdsv.csv,0.08,0.0,0.0,0.05,0.05,0.0,1.0,0.02,0.0,0.0,0.14,0.0,0.43,0.0
openmeetings.csv,0.54,0.26,0.36,1.0,0.14,0.57,1.0,0.5,0.31,0.19,0.61,0.89,0.36,0.41
plato.csv,0.62,0.83,0.0,0.59,0.76,0.86,0.0,1.0,0.74,1.0,0.81,0.26,0.43,0.7
projecteqemu.csv,0.38,0.13,0.18,0.59,0.19,0.43,0.67,0.12,0.34,0.06,1.0,0.63,0.64,0.19
scite-ru.csv,1.0,0.87,0.55,0.82,0.81,0.71,0.67,0.67,0.8,0.38,0.78,0.47,1.0,0.63
uclmda.csv,0.0,0.27,0.45,0.14,0.1,0.0,0.0,0.07,0.35,0.0,0.03,1.0,0.14,0.04
vrjuggler.csv,0.15,0.41,0.0,0.36,0.14,0.14,1.0,0.48,0.27,0.88,0.5,0.01,0.64,0.0
