,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.27,1.0,0.17,0.38,0.21,0.1,0.04,0.86,0.18,0.16,0.38,0.98,0.05,0.17
chrysalis.csv,0.17,0.54,0.3,0.21,0.34,0.0,0.13,0.86,0.18,0.21,0.66,0.89,0.12,1.0
etics.csv,1.0,0.53,0.67,0.18,0.34,0.09,0.25,0.89,0.25,0.14,0.56,0.96,0.13,0.28
flexpay.csv,0.08,0.48,0.0,0.11,0.25,0.06,0.14,0.85,1.0,0.25,0.31,0.0,0.21,0.12
ifmo-game-1.csv,0.0,0.5,0.27,0.14,0.0,1.0,0.0,0.67,0.07,0.0,1.0,1.0,0.0,0.0
jcl.csv,1.0,0.67,0.29,1.0,0.28,0.06,0.33,1.0,0.5,0.0,0.33,0.0,1.0,0.5
linuxsh.csv,0.21,0.37,1.0,0.15,0.3,0.09,0.13,0.81,0.19,0.39,0.53,0.98,0.16,0.29
mvdsv.csv,1.0,0.0,0.0,1.0,0.17,0.0,1.0,0.5,0.0,0.0,0.83,0.0,0.18,0.0
openmeetings.csv,0.64,0.54,0.27,1.0,0.3,0.14,0.33,0.78,0.21,0.3,0.67,0.99,0.16,0.28
plato.csv,0.18,0.48,0.0,0.09,0.3,0.09,0.0,1.0,0.16,0.23,0.42,0.91,0.07,0.14
projecteqemu.csv,0.56,0.65,0.17,0.54,0.67,0.16,0.16,0.83,0.24,0.11,0.97,0.97,0.19,0.38
scite-ru.csv,0.24,0.51,0.55,0.15,0.89,0.1,0.09,0.88,0.17,0.17,0.56,0.93,0.12,0.15
uclmda.csv,0.0,0.42,0.28,0.05,0.25,0.0,0.0,0.75,0.16,0.0,0.5,1.0,0.14,0.14
vrjuggler.csv,0.67,0.46,0.0,0.07,0.17,0.12,0.55,0.91,0.17,0.93,0.56,0.33,0.12,0.0
