,scenemonitor.csv,panda3d.csv,jchassis.csv,xcf.csv,coot.csv
coot.csv,0.88,0.54,0.76,0.86,0.53
jchassis.csv,0.0,0.0,0.5,0.0,0.0
panda3d.csv,0.5,0.81,0.83,0.75,0.9
scenemonitor.csv,0.55,0.52,0.63,0.53,0.4
xcf.csv,0.56,0.55,0.53,0.48,0.47
