,esmf.csv,pentahoanalysistool.csv,turbotrader-bos.csv,personalaccess.csv
esmf.csv,0.52,0.92,0.78,0.73
pentahoanalysistool.csv,0.86,0.35,0.63,0.91
personalaccess.csv,0.67,0.68,0.51,0.33
turbotrader-bos.csv,0.6,0.57,0.4,0.57
