,esmf.csv,pentahoanalysistool.csv,turbotrader-bos.csv,personalaccess.csv
esmf.csv,0.6,0.41,0.51,0.52
pentahoanalysistool.csv,0.39,0.81,0.57,0.11
personalaccess.csv,0.38,0.38,0.59,0.8
turbotrader-bos.csv,0.6,0.67,0.71,0.52
