,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.52,0.42,0.4,0.46,0.53,0.52,0.39,0.36,0.36,0.44,0.37,0.59
codesmith.csv,0.93,0.52,0.57,0.81,0.54,0.62,0.46,0.62,0.36,0.48,0.44,0.52
icescrum.csv,0.56,0.56,0.52,0.68,0.58,0.58,0.47,0.35,0.58,0.53,0.5,0.92
ingex.csv,0.5,0.72,0.73,0.73,0.63,0.45,0.44,0.46,0.4,0.75,0.39,0.79
jrefactory.csv,0.43,0.59,0.52,0.54,0.62,0.77,0.69,0.37,0.65,0.5,0.48,0.38
jsecurity.csv,0.91,0.55,0.53,0.51,0.92,0.49,0.68,0.6,0.6,0.64,0.88,0.44
libopenmetaverse.csv,0.33,0.36,0.38,0.46,0.46,0.48,0.36,0.36,0.38,0.48,0.32,0.65
lite.csv,0.97,0.54,0.54,0.49,0.72,0.58,0.48,0.95,0.52,0.94,0.34,0.86
mobicents.csv,0.41,0.41,0.45,0.59,0.51,0.36,0.46,0.39,0.6,0.46,0.38,0.62
opendvr.csv,0.39,0.39,0.45,0.44,0.46,0.35,0.39,0.44,0.35,0.68,0.33,0.49
openefm.csv,0.37,0.47,0.43,0.45,0.83,0.52,0.37,0.39,0.67,0.5,0.33,0.5
sidekar.csv,0.0,0.92,0.0,0.0,0.48,0.0,0.0,0.0,0.38,0.44,0.0,0.0
