,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.24,0.39,0.74,0.36,0.58,0.29,0.56,0.46,0.85,0.43,0.72,0.18
codesmith.csv,0.23,0.63,0.53,0.22,0.68,0.46,0.77,0.58,0.44,0.87,0.44,0.24
icescrum.csv,0.26,0.27,0.29,0.23,0.16,0.23,0.35,0.5,0.51,0.25,0.19,0.12
ingex.csv,0.44,0.22,0.24,0.36,0.42,0.51,0.61,0.32,0.9,0.28,0.53,0.15
jrefactory.csv,0.77,0.64,0.45,0.85,0.71,0.2,0.46,0.8,0.66,0.53,0.62,0.97
jsecurity.csv,0.15,0.16,0.45,0.19,0.08,0.46,0.23,0.22,0.2,0.19,0.12,0.68
libopenmetaverse.csv,1.0,0.99,0.97,1.0,0.92,0.31,1.0,0.88,0.93,0.36,0.97,0.18
lite.csv,0.15,0.31,0.5,0.24,0.11,0.29,0.32,0.3,0.29,0.19,1.0,0.12
mobicents.csv,0.52,0.54,0.53,0.22,0.13,0.97,0.31,0.88,0.32,0.96,0.78,0.5
opendvr.csv,0.52,0.39,0.74,0.3,0.42,1.0,0.42,0.62,0.56,0.28,0.53,0.56
openefm.csv,0.8,0.33,0.84,0.47,0.08,0.34,0.72,0.46,0.0,0.34,0.75,0.41
sidekar.csv,0.0,0.12,0.0,0.0,0.24,0.0,0.0,0.0,0.93,1.0,0.0,0.0
