,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.74,0.66,0.51,0.62,0.57,0.5,0.64,0.63,0.47,0.43,0.64,0.48
codesmith.csv,0.25,0.5,0.4,0.32,0.55,0.57,0.45,0.39,0.64,0.39,0.58,0.8
icescrum.csv,0.71,0.52,0.39,0.5,0.52,0.35,0.58,0.66,0.35,0.21,0.83,0.17
ingex.csv,0.62,0.34,0.29,0.47,0.59,0.54,0.61,0.66,0.32,0.45,0.66,0.26
jrefactory.csv,0.44,0.45,0.66,0.4,0.4,0.2,0.37,0.52,0.28,0.53,0.52,0.13
jsecurity.csv,0.31,0.59,0.32,0.71,0.17,0.53,0.38,0.35,0.51,0.21,0.25,0.58
libopenmetaverse.csv,0.0,0.05,0.13,0.0,0.3,0.62,0.0,0.39,0.27,0.31,0.13,0.48
lite.csv,0.21,0.51,0.41,0.53,0.26,0.43,0.53,0.17,0.73,0.31,0.0,0.06
mobicents.csv,0.72,0.63,0.4,0.48,0.6,0.13,0.67,0.39,0.5,0.17,0.55,0.3
opendvr.csv,0.72,0.68,0.37,0.69,0.65,0.0,0.65,0.61,0.64,0.61,0.73,0.36
openefm.csv,0.52,0.69,0.42,0.71,0.27,0.5,0.62,0.68,0.24,0.31,0.61,0.49
sidekar.csv,0.0,0.15,0.0,0.0,0.82,0.0,0.0,0.0,0.27,0.0,0.0,0.0
