,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.35,0.51,0.81,0.52,0.69,0.6,0.63,0.57,0.85,0.73,0.72,0.59
codesmith.csv,0.82,0.77,0.8,0.75,0.76,0.62,0.87,0.85,0.55,0.9,0.61,0.3
icescrum.csv,0.4,0.58,0.71,0.59,0.55,0.73,0.55,0.57,0.84,0.85,0.25,0.87
ingex.csv,0.57,0.73,0.78,0.67,0.59,0.68,0.68,0.47,0.94,0.66,0.59,0.79
jrefactory.csv,0.89,0.82,0.55,0.9,0.91,0.86,0.81,0.81,0.99,0.7,0.75,0.97
jsecurity.csv,0.74,0.48,0.84,0.36,0.86,0.66,0.7,0.72,0.57,0.84,0.8,0.73
libopenmetaverse.csv,1.0,0.99,0.97,1.0,0.92,0.5,1.0,0.89,0.93,0.81,0.97,0.59
lite.csv,0.83,0.6,0.79,0.56,0.79,0.67,0.59,0.91,0.4,0.75,1.02,0.96
mobicents.csv,0.55,0.62,0.8,0.61,0.46,0.99,0.45,0.89,0.62,0.96,0.79,0.89
opendvr.csv,0.55,0.49,0.94,0.43,0.53,1.0,0.53,0.68,0.62,0.5,0.55,0.86
openefm.csv,0.81,0.45,0.89,0.52,0.77,0.63,0.73,0.54,0.8,0.8,0.75,0.67
sidekar.csv,1.0,0.89,1.0,1.0,0.28,1.0,1.0,1.0,0.93,1.0,1.0,1.0
