,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.74,0.67,0.67,0.62,0.62,0.47,0.72,0.66,1.0,0.41,0.95,0.44
codesmith.csv,0.21,0.55,0.39,0.28,0.67,0.58,0.6,0.38,0.67,0.77,0.58,0.81
icescrum.csv,0.7,0.48,0.35,0.46,0.47,0.31,0.57,0.72,0.33,0.18,0.84,0.14
ingex.csv,0.64,0.3,0.25,0.44,0.59,0.56,0.71,0.66,0.73,0.41,0.74,0.22
jrefactory.csv,0.56,0.48,0.69,0.69,0.44,0.17,0.34,0.86,0.27,0.55,0.58,0.94
jsecurity.csv,0.27,0.55,0.29,0.69,0.14,0.53,0.34,0.31,0.47,0.18,0.21,0.73
libopenmetaverse.csv,0.98,1.0,1.0,1.0,1.0,0.61,0.99,0.9,1.0,0.27,1.0,0.44
lite.csv,0.18,0.48,0.39,0.49,0.22,0.39,0.5,0.14,0.73,0.27,0.79,0.05
mobicents.csv,0.83,0.7,0.39,0.44,0.56,0.83,0.67,0.9,0.47,0.95,0.89,0.27
opendvr.csv,0.82,0.7,0.41,0.69,0.67,0.94,0.67,0.72,0.73,0.59,0.84,0.34
openefm.csv,0.86,0.7,0.71,0.77,0.23,0.47,0.89,0.72,0.2,0.27,0.95,0.47
sidekar.csv,0.0,0.12,0.0,0.0,0.84,0.0,0.0,0.0,1.0,1.0,0.0,0.0
