,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.47,0.3,0.35,0.39,0.61,0.17,0.67,0.45,1.0,0.35,0.45
google-gears.csv,0.66,0.47,0.79,0.2,0.97,0.42,0.83,1.0,0.39,0.48,0.79
grafx2.csv,0.6,0.95,0.55,0.57,0.73,0.51,0.62,0.57,0.64,0.71,0.7
kmess.csv,0.42,0.95,0.23,0.28,0.64,0.48,0.98,0.5,0.23,0.39,0.34
megameknet.csv,0.42,0.91,0.79,0.35,0.52,0.93,0.35,0.4,0.69,0.46,0.45
minig.csv,0.72,0.37,0.61,0.96,0.91,0.41,0.78,0.72,0.31,0.35,0.79
ns-3.csv,0.99,0.63,0.73,0.7,0.73,0.58,0.74,0.67,0.62,0.67,0.74
omseek.csv,0.06,0.16,0.18,0.43,0.88,0.28,0.13,0.11,0.21,0.5,0.06
quickfast.csv,0.59,0.86,0.87,0.57,0.67,0.72,0.7,0.62,0.72,0.66,1.0
sylpheed-claws.csv,0.34,0.65,0.97,0.63,0.55,0.57,0.46,0.45,0.61,0.6,0.53
xamj.csv,0.74,0.28,0.35,0.76,0.67,0.59,0.78,0.37,0.43,0.96,0.72
