,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.58,0.36,0.42,0.44,0.27,0.21,0.66,0.58,0.98,0.39,0.55
google-gears.csv,0.67,0.49,0.64,0.27,0.23,0.45,0.75,1.0,0.48,0.49,0.71
grafx2.csv,0.63,0.96,0.54,0.49,0.23,0.42,0.62,0.66,0.52,0.49,0.7
kmess.csv,0.51,0.68,0.28,0.32,0.23,0.47,0.98,0.6,0.32,0.35,0.47
megameknet.csv,0.5,0.72,0.69,0.36,0.2,0.96,0.44,0.52,0.6,0.46,0.51
minig.csv,0.68,0.48,0.53,0.98,0.27,0.37,0.71,0.73,0.39,0.39,0.67
ns-3.csv,0.99,0.65,0.61,0.55,0.22,0.35,0.68,0.73,0.6,0.43,0.7
omseek.csv,0.11,0.21,0.29,0.39,0.94,0.18,0.22,0.2,0.33,0.41,0.12
quickfast.csv,0.65,0.66,0.62,0.53,0.24,0.46,0.7,0.72,0.62,0.55,0.99
sylpheed-claws.csv,0.46,0.68,0.97,0.58,0.26,0.44,0.55,0.58,0.6,0.51,0.6
xamj.csv,0.73,0.42,0.42,0.55,0.21,0.34,0.69,0.5,0.47,0.98,0.65
