,kmatplot.csv,firebird.csv,popeye-chess.csv,cities3d.csv,mscore.csv,openmalaria.csv,riff-evolve.csv
cities3d.csv,0.83,0.72,0.68,0.11,0.85,0.75,0.75
firebird.csv,0.48,0.04,0.81,0.47,0.68,0.59,0.56
kmatplot.csv,0.01,0.83,0.9,0.78,0.87,0.76,0.66
mscore.csv,0.68,0.57,0.49,0.34,0.01,0.6,0.54
openmalaria.csv,0.65,0.63,0.46,0.61,0.56,0.07,0.65
popeye-chess.csv,0.77,0.59,0.06,0.57,0.62,0.62,0.68
riff-evolve.csv,0.51,0.6,0.45,0.51,0.55,0.5,0.03
