,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.0,0.0,0.3,0.32,0.0,0.34,0.33,0.09,0.91,0.14
ibatisdb.csv,0.0,0.0,0.15,0.15,0.06,0.54,0.42,0.5,0.3,0.99
jmol.csv,0.07,0.12,0.18,0.34,0.0,1.0,0.57,0.72,0.32,0.48
liferea.csv,0.19,0.15,0.36,0.96,0.0,0.62,0.06,0.54,0.37,0.32
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pclasses.csv,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.07
psrchive.csv,0.25,0.33,1.0,0.14,0.06,0.42,0.47,0.08,0.37,0.16
re2c.csv,0.31,1.0,0.37,0.13,0.07,0.58,0.41,0.63,0.32,0.51
tycho.csv,0.3,0.27,0.28,0.34,0.03,0.62,1.0,0.06,0.4,0.4
xfce.csv,0.23,0.23,0.32,0.41,0.07,0.85,0.58,0.99,0.28,0.21
