,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,66.0,56.0,1.0,1.0,133.0,0.0,0.0,3.0,0.0,14.0
ibatisdb.csv,66.0,56.0,8.0,7.0,18.0,0.0,0.0,1.0,36.0,0.0
jmol.csv,15.0,0.0,3.0,3.0,133.0,0.0,0.0,1.0,23.0,9.0
liferea.csv,5.0,1.0,4.0,0.0,133.0,0.0,0.0,0.0,1.0,0.0
log4net.csv,66.0,56.0,88.0,56.0,0.0,123.0,62.0,250.0,161.0,140.0
pclasses.csv,0.0,56.0,88.0,56.0,133.0,1.0,62.0,250.0,161.0,16.0
psrchive.csv,0.0,3.0,0.0,0.0,33.0,0.0,0.0,0.0,6.0,22.0
re2c.csv,1.0,0.0,8.0,9.0,38.0,0.0,0.0,0.0,6.0,4.0
tycho.csv,9.0,0.0,5.0,4.0,51.0,0.0,0.0,4.0,4.0,17.0
xfce.csv,5.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0,5.0,25.0
