,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv,skia.csv,tencompetence.csv
bulmages.csv,1.0,1.0,0.89,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.66,1.0,1.0,1.0,0.9
codeblocks.csv,0.82,0.72,0.95,0.8,0.67,1.0,0.93,0.77,0.87,1.0,0.91,0.95,0.41,1.0,0.92,0.99,0.87,0.84
grisbi.csv,1.0,0.91,1.0,1.0,0.95,1.0,0.3,0.98,0.96,0.72,0.84,0.92,1.0,0.89,1.0,0.96,0.85,0.97
libmesh.csv,0.93,0.98,0.84,0.98,0.96,1.0,1.04,0.93,0.67,0.85,0.81,0.89,0.91,0.98,0.93,1.0,1.0,1.01
mesa3d.csv,0.85,0.8,0.95,0.96,1.0,0.49,0.8,0.97,0.81,1.0,1.0,0.74,0.76,0.76,0.95,0.76,0.87,0.93
panda3d.csv,0.98,0.82,0.68,0.88,0.74,0.85,0.65,1.0,0.96,0.81,0.84,0.74,0.83,1.0,0.64,0.96,0.96,0.76
proftp.csv,0.69,0.74,0.73,0.91,0.92,0.46,0.76,0.72,0.66,0.9,1.04,0.87,0.85,0.68,0.92,0.96,0.59,0.98
qmmp.csv,0.59,0.58,0.73,0.68,0.68,0.76,0.56,0.81,0.79,0.89,0.75,0.64,0.64,0.75,0.4,0.86,0.84,0.99
red5.csv,0.93,0.79,0.76,0.54,0.92,0.77,0.91,0.64,0.71,0.96,0.96,0.93,0.8,1.0,0.59,1.0,0.86,0.87
skia.csv,0.81,0.97,0.64,0.73,0.64,0.65,0.8,1.0,0.82,0.89,1.0,0.85,0.96,0.88,0.89,0.7,0.75,0.86
soar.csv,0.79,0.98,0.86,0.84,0.95,0.95,1.01,0.93,1.0,0.93,0.98,0.92,0.81,0.43,0.95,1.0,0.92,0.72
super-tux.csv,0.87,0.97,0.62,0.73,0.88,1.0,1.01,0.91,0.86,0.99,0.93,0.9,0.8,0.72,0.94,0.94,0.96,0.79
t-2.csv,0.88,0.62,0.86,0.96,0.67,0.8,0.66,0.63,0.96,0.88,0.53,0.86,0.79,0.68,0.83,0.99,0.92,0.99
tart.csv,0.88,0.98,0.84,0.75,0.68,0.86,0.81,0.96,0.8,0.85,1.0,0.98,0.97,0.98,0.85,0.92,0.84,0.95
tcvp.csv,0.98,0.98,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tencompetence.csv,0.69,0.79,0.75,0.91,0.79,0.8,0.81,0.96,0.88,1.0,0.9,0.76,0.69,0.76,0.88,0.75,0.58,0.36
utgb.csv,0.81,0.62,0.49,0.94,0.58,0.5,0.55,0.9,0.89,0.75,0.45,0.57,0.56,0.71,0.75,0.65,0.72,0.79
xbrlapi.csv,0.61,0.85,0.98,0.9,0.51,0.52,0.3,0.69,0.81,1.0,0.52,0.67,0.96,0.96,0.79,1.0,0.69,0.76
