,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.86,0.12,0.6,0.16,0.2,0.23,0.15,0.3,0.25,0.3
fritzing.csv,0.5,0.34,0.29,0.33,0.4,0.49,0.04,0.17,0.47,0.29
jlinalg.csv,0.07,0.25,0.9,0.69,0.4,0.44,0.9,0.8,0.56,0.75
knowledge.csv,0.14,0.73,0.7,0.84,0.0,0.65,0.31,0.54,0.38,0.53
massiv.csv,0.0,0.08,0.18,0.0,0.0,0.03,0.0,0.22,0.0,0.09
oscarmcmaster.csv,0.14,0.09,0.14,0.18,0.2,0.53,0.04,0.52,0.12,0.35
playerstage.csv,0.14,0.41,0.49,0.24,0.4,0.4,0.06,0.22,0.31,0.4
quarkplusplus.csv,0.57,0.65,0.77,0.23,0.0,0.34,0.15,0.87,0.28,0.25
rtrt-on-gpu.csv,0.14,0.45,0.18,0.58,0.4,0.44,0.21,0.15,0.41,0.52
superwaba.csv,0.14,0.23,0.43,0.13,0.2,0.45,0.29,0.61,0.16,0.42
