,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.72,0.83,0.44,0.55,0.39,0.68,0.75,0.48,0.42,0.84
fritzing.csv,0.48,0.47,0.47,0.52,0.36,0.42,0.75,0.71,0.47,0.62
jlinalg.csv,0.46,0.76,0.48,0.41,0.47,0.59,0.41,0.43,0.6,0.45
knowledge.csv,0.41,0.38,0.46,0.38,0.4,0.48,0.59,0.47,0.48,0.45
massiv.csv,0.86,0.96,0.62,0.0,0.0,0.95,0.0,0.59,0.0,0.96
oscarmcmaster.csv,0.48,0.9,0.97,0.67,0.41,0.51,0.67,0.42,0.7,0.48
playerstage.csv,0.42,0.49,0.44,0.49,0.39,0.54,0.75,0.65,0.53,0.52
quarkplusplus.csv,0.53,0.56,0.46,0.58,0.45,0.7,0.88,0.43,0.54,0.92
rtrt-on-gpu.csv,0.94,0.55,0.96,0.57,0.68,0.59,0.75,0.9,0.88,0.53
superwaba.csv,0.4,0.45,0.39,0.55,0.33,0.41,0.47,0.35,0.42,0.4
