,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.67,0.63,0.53,0.7,0.97,0.02,0.12,0.48,0.58,0.21
fritzing.csv,0.84,0.54,0.71,0.56,0.96,0.01,0.5,0.43,0.53,0.34
jlinalg.csv,0.98,0.44,0.46,0.46,0.95,0.02,0.16,0.34,0.49,0.19
knowledge.csv,0.95,0.4,0.53,0.43,1.0,0.01,0.12,0.34,0.56,0.26
massiv.csv,1.0,0.7,0.65,0.0,0.0,0.19,0.0,0.55,0.0,0.36
oscarmcmaster.csv,0.9,0.62,0.62,0.69,0.98,0.01,0.33,0.37,0.6,0.31
playerstage.csv,0.94,0.46,0.61,0.68,0.96,0.01,0.25,0.41,0.47,0.29
quarkplusplus.csv,0.84,0.39,0.48,0.6,1.0,0.02,0.12,0.31,0.62,0.26
rtrt-on-gpu.csv,0.88,0.34,0.44,0.28,0.92,0.0,0.38,0.3,0.24,0.15
superwaba.csv,0.9,0.62,0.6,0.72,0.97,0.01,0.18,0.39,0.58,0.22
