,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.55,0.44,0.63,0.75,0.74,0.53,0.69,0.45,0.62,0.31,0.4,0.7,0.66,0.55,0.72,0.69
biodwh.csv,0.37,0.18,0.42,0.24,0.46,0.0,0.4,0.29,0.16,0.06,0.51,0.24,0.38,0.35,0.88,0.54
blue-c.csv,0.55,0.58,0.52,0.75,0.7,0.81,0.38,0.61,0.58,0.37,0.0,0.45,0.68,0.58,0.62,0.09
cities3d.csv,0.6,0.25,0.57,0.04,0.69,0.49,0.62,0.57,0.51,0.12,0.65,0.0,0.5,0.6,0.66,0.82
firebird.csv,0.59,0.57,0.65,0.77,0.69,0.55,0.45,0.54,0.69,0.53,0.47,0.54,0.63,0.57,0.43,0.86
jcache.csv,0.7,0.63,0.57,0.64,0.42,0.4,0.46,0.63,0.7,0.45,0.13,0.64,0.56,0.62,0.46,0.89
jparsec.csv,0.37,0.57,0.54,0.5,0.5,0.0,0.51,0.3,0.43,0.61,0.72,0.58,0.29,0.45,0.52,0.79
mscore.csv,0.52,0.64,0.69,0.73,0.72,0.78,0.71,0.67,0.73,0.64,0.58,0.73,0.59,0.63,0.49,0.59
nabu-library.csv,0.16,0.64,0.38,0.17,0.36,0.6,0.29,0.42,0.57,0.85,0.34,0.12,0.57,0.2,0.0,0.3
ns-3-dev-def-routing.csv,0.12,0.51,0.33,0.77,0.17,0.24,0.47,0.48,0.53,0.35,0.58,0.49,0.61,0.13,0.36,0.38
open-ms.csv,0.77,0.66,0.57,0.54,0.67,0.68,0.58,0.67,0.52,0.43,0.37,0.66,0.51,0.54,0.45,0.61
popeye-chess.csv,0.63,0.5,0.58,0.68,0.61,0.63,0.67,0.61,0.56,0.42,0.5,0.6,0.57,0.6,0.37,0.6
qgo.csv,0.89,0.5,0.68,0.44,0.44,0.45,0.6,0.51,0.65,0.69,0.53,0.57,0.49,0.48,0.63,0.82
webdriver.csv,0.67,0.63,0.55,0.75,0.76,0.69,0.72,0.56,0.5,0.38,0.54,0.7,0.6,0.55,0.37,0.67
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.85,0.0,0.0,0.0,0.51
yafdotnet.csv,0.7,0.6,0.6,0.67,0.55,0.67,0.54,0.61,0.7,0.69,0.28,0.44,0.56,0.62,0.71,0.76
