,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.59,0.55,0.48,0.49,0.53,0.5,0.33,0.53,0.45,0.68,0.38,0.33,0.44,0.59,0.41,0.4
biodwh.csv,0.5,0.97,0.62,0.75,0.98,0.0,0.58,0.76,0.94,0.8,0.42,0.89,0.58,0.75,0.55,0.52
blue-c.csv,0.43,0.52,0.48,0.54,0.61,0.48,0.4,0.47,0.53,0.92,0.39,0.38,0.48,0.5,0.53,0.54
cities3d.csv,0.36,0.91,0.51,0.67,0.61,0.56,0.44,0.46,0.61,0.96,0.46,0.5,0.55,0.43,0.38,0.42
firebird.csv,0.54,0.45,0.49,0.51,0.35,0.5,0.36,0.53,0.37,0.45,0.36,0.36,0.42,0.59,0.31,0.38
jcache.csv,0.35,0.39,0.46,0.5,0.35,0.42,0.5,0.4,0.41,0.8,0.89,0.52,0.43,0.43,0.58,0.41
jparsec.csv,0.86,0.47,0.59,0.6,0.4,0.49,0.39,0.48,0.35,0.42,0.52,0.62,0.41,0.44,0.34,0.39
mscore.csv,0.58,0.34,0.4,0.41,0.46,0.35,0.33,0.4,0.4,0.39,0.39,0.32,0.37,0.39,0.3,0.38
nabu-library.csv,0.89,0.41,0.79,0.83,0.99,0.48,0.64,0.65,0.47,0.54,0.73,0.82,0.46,0.98,0.93,0.92
ns-3-dev-def-routing.csv,0.88,0.61,0.95,0.54,0.98,0.83,0.48,0.67,0.49,0.7,0.43,0.37,0.59,0.98,0.74,0.76
open-ms.csv,0.36,0.35,0.42,0.45,0.4,0.44,0.42,0.4,0.54,0.44,0.53,0.41,0.51,0.52,0.54,0.48
popeye-chess.csv,0.34,0.44,0.51,0.42,0.89,0.38,0.34,0.4,0.48,0.49,0.48,0.39,0.38,0.45,0.54,0.46
qgo.csv,0.41,0.36,0.41,0.54,0.33,0.41,0.33,0.38,0.33,0.38,0.42,0.41,0.38,0.39,0.29,0.33
webdriver.csv,0.36,0.39,0.47,0.48,0.46,0.36,0.51,0.45,0.58,0.67,0.53,0.42,0.44,0.54,0.5,0.5
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.55,0.0,0.0,0.0,0.6
yafdotnet.csv,0.35,0.36,0.44,0.39,0.34,0.34,0.46,0.38,0.46,0.59,0.7,0.53,0.37,0.38,0.35,0.42
