,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.5,0.39,0.62,0.77,0.76,0.47,0.76,0.4,0.62,0.34,0.96,0.9,0.68,0.52,0.75,0.65
biodwh.csv,0.33,0.15,0.38,0.2,0.41,0.0,0.36,0.25,0.13,0.05,0.84,0.2,0.34,0.31,0.92,0.5
blue-c.csv,0.7,0.6,0.85,0.97,0.7,0.8,0.96,0.58,0.59,0.38,1.0,1.0,0.76,0.72,0.67,0.88
cities3d.csv,0.83,0.21,0.66,0.03,0.68,0.6,0.71,0.54,0.48,0.1,0.82,0.0,0.48,0.88,0.75,0.85
firebird.csv,0.57,0.55,0.65,0.91,0.84,0.5,0.78,0.49,0.92,0.49,0.89,1.0,0.79,0.55,1.0,0.94
jcache.csv,0.77,0.77,0.58,0.6,0.84,0.93,0.44,0.63,0.82,0.4,0.11,0.7,0.87,0.85,0.42,0.91
jparsec.csv,0.33,0.73,0.52,0.91,0.81,0.73,0.56,0.74,0.88,0.58,0.71,0.6,0.83,0.88,0.67,0.79
mscore.csv,0.47,0.7,0.76,0.74,0.76,0.8,0.82,0.66,0.77,0.63,0.58,0.9,0.65,0.7,0.92,0.56
nabu-library.csv,0.13,0.71,0.35,0.14,0.32,0.57,0.27,0.38,0.62,0.87,0.31,0.1,0.56,0.17,0.0,0.26
ns-3-dev-def-routing.csv,0.1,0.48,0.29,0.83,0.14,0.2,0.53,0.45,0.56,0.44,0.78,1.0,0.6,0.11,0.33,0.44
open-ms.csv,0.83,0.86,0.56,0.49,0.76,0.67,0.56,0.72,0.48,0.39,0.33,0.7,0.5,0.51,0.42,0.56
popeye-chess.csv,0.63,0.47,0.57,0.66,0.57,0.6,0.82,0.58,0.53,0.38,0.47,0.6,0.57,0.62,0.33,0.56
qgo.csv,0.9,0.81,0.73,0.8,0.92,0.83,0.64,0.93,0.92,0.7,0.49,0.6,0.77,0.96,0.92,0.82
webdriver.csv,0.8,0.77,0.78,0.8,0.84,0.67,0.71,0.52,0.47,0.46,0.56,0.9,0.61,0.53,0.33,0.65
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.9,0.0,0.0,0.0,0.76
yafdotnet.csv,0.77,0.6,0.64,0.63,0.84,0.7,0.53,0.59,0.69,0.67,0.24,0.4,0.57,0.82,0.83,0.76
