,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,0.58,0.48,0.71,0.59,0.94,0.6,0.4,0.38,0.51,0.66,0.73,0.61,0.8,0.08,0.5,0.17,0.54,0.65,0.52
autofac.csv,0.68,0.58,0.39,1.0,0.4,0.43,0.59,0.37,0.52,0.41,0.75,0.51,0.28,0.13,0.56,0.21,0.35,0.49,0.64
avisynth2.csv,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.14,0.0,0.0,1.0,0.0,0.0,0.19,0.0,0.02
dsworkbench.csv,0.55,0.31,0.99,0.44,0.3,0.64,0.44,0.44,0.4,0.65,0.69,0.43,0.78,0.07,0.63,0.29,0.46,0.58,0.42
exist.csv,0.3,0.55,0.67,0.52,0.41,0.4,0.34,0.41,0.44,0.98,0.67,0.64,0.16,0.12,0.65,0.17,0.44,0.51,0.63
forester-atv.csv,0.12,1.0,0.34,0.0,0.03,0.17,0.11,0.33,0.09,0.36,0.3,0.27,0.03,0.0,0.26,0.0,0.2,0.08,0.18
freelords.csv,0.76,0.27,0.84,0.43,0.5,0.99,0.46,0.42,0.48,0.56,0.71,0.79,0.63,0.12,0.79,0.16,0.48,0.57,0.78
gephex.csv,0.8,0.47,0.85,0.57,0.69,0.75,0.5,0.39,0.42,0.57,0.71,0.82,0.87,0.0,0.82,0.14,0.52,0.98,0.65
google-collections.csv,1.0,0.55,0.86,0.64,0.71,0.85,0.45,0.52,0.56,0.72,0.86,0.84,0.88,0.09,0.91,0.22,0.44,0.77,0.98
java-gnome.csv,0.16,0.41,0.45,0.46,0.48,0.44,0.18,0.23,0.17,0.42,0.39,0.48,0.99,0.09,0.37,0.14,0.4,0.5,0.25
jpaul.csv,0.5,0.57,0.45,0.36,0.03,0.02,0.97,0.31,0.53,0.27,0.19,0.44,0.28,0.0,0.44,0.31,0.27,0.03,0.42
neodatis-odb.csv,0.38,0.54,0.64,0.52,0.25,0.27,0.3,0.97,0.59,0.39,0.54,0.42,0.47,0.14,0.54,0.33,0.51,0.52,0.59
octet.csv,0.78,0.44,0.76,0.41,0.37,0.34,0.22,0.45,0.0,0.72,0.59,0.63,0.67,0.07,0.81,0.83,0.26,0.37,0.89
personalaccess.csv,0.79,0.6,0.8,0.59,0.69,0.74,0.52,0.4,0.63,0.66,0.77,0.84,0.85,0.16,0.99,0.24,0.44,0.57,0.74
pokenetonline.csv,0.77,0.56,0.77,0.45,0.2,0.3,0.4,0.26,0.35,0.35,0.45,1.0,0.0,0.0,0.82,0.4,0.4,0.13,0.43
rcp-company-uibindings.csv,0.92,0.55,0.86,0.63,0.69,0.85,0.47,0.49,0.54,0.72,0.85,0.83,0.63,0.1,0.88,0.22,0.41,0.75,1.0
scenemonitor.csv,0.81,0.55,0.71,0.61,0.59,0.62,0.44,0.51,1.0,0.66,0.84,0.67,0.84,0.18,0.76,0.24,0.5,0.62,0.81
servicestack.csv,0.51,0.55,0.46,0.36,0.21,0.41,0.47,0.41,0.24,0.52,0.29,0.37,0.56,0.12,0.56,0.15,1.0,0.03,0.5
st-filteredstatistics.csv,0.66,0.49,0.73,0.63,0.63,0.6,0.46,0.41,0.6,0.59,1.0,0.61,0.61,0.15,0.72,0.43,0.44,0.59,0.65
