,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.81,0.78,0.58,0.95,0.48,0.55,0.74,0.26,0.78,0.8,0.45,0.67,0.8
ivef-sdk.csv,0.46,0.5,0.64,0.48,0.58,0.61,0.7,0.0,0.47,0.48,0.75,0.58,0.8
jmri.csv,0.52,0.57,0.55,0.54,0.58,0.79,0.53,0.96,0.69,0.63,0.83,0.59,0.83
jython.csv,0.42,0.52,0.79,0.46,0.48,0.45,0.42,0.97,0.54,0.82,0.48,0.69,0.71
kdenlive.csv,0.35,0.41,0.39,0.33,0.36,0.5,0.5,0.26,0.43,0.43,0.39,0.35,0.37
opentibia.csv,0.63,0.45,0.72,0.77,0.54,0.5,0.44,0.97,0.5,0.75,0.78,0.63,0.47
projectfactory.csv,0.61,0.52,0.53,0.8,0.46,0.83,0.55,0.8,0.46,0.56,0.46,0.54,0.45
runuomondains.csv,0.5,0.5,0.49,0.5,0.5,0.44,0.49,0.91,0.63,0.47,0.68,0.61,0.6
somap.csv,0.43,0.46,0.39,0.43,0.41,0.47,0.49,0.26,0.49,0.41,0.44,0.38,0.43
taverna.csv,0.8,0.69,0.98,0.42,0.65,0.9,0.64,0.5,0.92,0.47,0.0,0.67,0.67
tigermud.csv,0.89,0.97,0.47,0.67,0.49,0.0,0.77,0.32,0.8,0.91,0.68,0.57,0.59
unbvision.csv,0.4,0.41,0.48,0.39,0.45,0.43,0.5,0.82,0.52,0.52,0.44,0.83,0.5
x-ray-mule.csv,0.66,0.71,0.8,0.62,0.51,0.0,0.61,0.67,0.53,0.46,0.86,0.57,0.67
