,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.93,0.88,0.66,0.55,0.84,0.75,0.17,0.99,0.81,0.9,0.97,0.96,0.89
ivef-sdk.csv,0.79,0.56,0.63,0.7,0.8,0.0,0.98,0.95,0.8,0.77,1.0,1.11,0.89
jmri.csv,0.6,0.74,0.46,0.92,0.99,0.43,0.77,0.47,0.53,0.67,0.55,0.73,0.86
jython.csv,0.8,0.75,0.61,0.9,0.89,0.9,0.97,0.2,0.59,0.76,0.81,0.75,0.77
kdenlive.csv,0.4,0.69,0.63,1.02,0.61,0.98,0.76,0.99,0.71,0.7,0.78,0.51,0.6
opentibia.csv,0.77,0.32,0.69,0.77,0.7,0.99,0.83,0.66,0.97,0.95,0.63,0.74,0.96
projectfactory.csv,0.71,0.64,0.63,0.95,0.62,0.94,0.54,0.23,0.57,0.59,0.56,0.82,0.73
runuomondains.csv,0.61,0.7,0.49,0.9,0.88,1.25,0.75,0.37,0.52,0.67,0.24,0.68,0.85
somap.csv,0.95,0.92,0.82,0.85,0.83,1.08,0.84,1.0,1.0,0.85,0.94,0.17,1.0
taverna.csv,0.8,0.85,0.89,0.9,0.37,0.92,0.59,0.95,0.8,0.73,1.0,0.96,0.98
tigermud.csv,0.87,0.94,0.84,1.01,0.65,1.0,0.95,0.88,0.93,0.91,0.59,0.58,0.49
unbvision.csv,0.51,0.6,0.64,0.99,0.81,1.0,0.85,0.26,0.31,0.72,0.62,0.86,0.74
x-ray-mule.csv,0.91,0.65,0.72,0.39,0.73,0.99,0.76,0.91,0.98,0.86,1.01,0.94,0.65
