,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.31,0.43,0.08,0.18,0.92,0.0,0.37,0.42,0.32,0.75,0.13,0.29,0.41,0.0,0.29,0.5,0.53
fontforge.csv,0.73,0.2,0.5,0.11,0.48,0.45,0.19,0.0,0.22,0.22,0.3,0.31,0.1,0.4,0.45,0.83,0.36
glas.csv,0.35,0.5,0.22,0.22,0.51,0.48,0.19,0.77,0.36,0.32,0.26,0.42,0.52,0.0,0.41,0.64,0.47
gmerlin.csv,0.08,0.19,0.25,0.2,0.21,0.22,0.17,0.29,0.28,0.25,0.22,0.28,0.41,0.29,0.35,0.67,0.0
hannosset.csv,0.02,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.02,0.04,0.01,0.0,0.0,0.0,0.0,0.02
hatari.csv,0.39,0.46,0.0,0.69,0.46,0.41,0.31,0.26,0.46,0.65,0.13,0.49,0.41,0.24,0.35,0.7,0.18
jaolt.csv,0.76,0.69,0.33,0.62,0.77,0.65,0.48,0.97,0.38,0.78,0.22,0.66,0.0,0.33,0.75,0.48,0.47
jcl.csv,0.0,0.01,0.08,0.04,0.01,0.01,0.04,0.0,0.01,0.05,0.0,0.02,0.0,0.0,0.03,0.0,0.0
ltp.csv,0.1,0.31,0.08,0.0,0.03,0.04,0.08,0.06,0.07,0.0,0.0,0.22,0.17,0.04,0.14,0.04,0.15
mia.csv,0.65,0.07,0.0,0.16,0.57,0.15,0.17,0.42,0.19,0.38,0.78,0.0,0.21,0.0,0.13,0.48,0.53
net-snmp.csv,0.0,0.16,0.11,0.11,0.31,0.21,0.1,0.61,0.38,0.35,0.35,0.14,0.28,0.13,0.33,0.45,0.29
opde.csv,0.53,0.51,0.19,0.0,0.93,0.57,0.48,0.52,0.55,0.52,0.61,0.32,0.55,0.15,0.78,0.77,0.32
oppna-program-hsatools.csv,0.78,0.65,0.69,1.0,0.89,0.54,1.0,1.0,0.95,1.0,0.0,0.98,0.93,0.56,0.46,0.93,0.76
powerfolder-.csv,0.1,0.0,0.03,0.18,0.1,0.32,0.0,0.0,0.1,0.28,0.26,0.07,0.03,0.09,0.14,0.42,0.02
qlc.csv,0.0,0.07,0.0,0.09,0.0,0.06,0.0,0.0,0.0,0.0,0.13,0.05,0.03,0.13,0.01,0.0,0.2
tcl.csv,0.22,0.5,0.06,0.44,0.48,0.29,0.21,0.32,0.18,0.02,0.13,0.35,0.17,0.44,0.28,0.34,0.14
