,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.52,0.46,0.36,0.26,0.8,0.98,0.0,0.39,0.1,0.58,0.52,0.21,0.72,0.2,0.21,0.27,0.39
fontforge.csv,0.42,0.33,0.26,0.29,0.5,0.3,0.17,0.98,0.21,0.45,0.36,0.15,0.33,0.29,0.05,0.2,0.28
glas.csv,0.47,0.42,0.24,0.41,0.69,0.53,0.0,0.57,0.18,0.38,0.68,0.23,0.72,0.99,0.16,0.24,0.36
gmerlin.csv,0.24,0.47,0.31,0.34,0.15,0.4,0.18,0.57,0.18,0.39,0.38,0.21,0.61,0.2,0.06,0.18,0.98
hannosset.csv,0.09,0.0,0.13,0.0,0.1,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.06
hatari.csv,0.46,0.41,0.98,0.3,0.61,0.6,0.11,0.27,0.29,0.59,0.71,0.2,0.5,0.33,0.24,0.23,0.43
jaolt.csv,0.56,0.51,0.45,0.51,0.82,0.53,0.07,0.58,0.37,0.59,0.67,0.16,0.98,0.55,0.16,0.23,0.41
jcl.csv,0.0,0.22,0.12,0.07,0.01,0.06,0.0,0.0,0.0,0.14,0.04,0.17,0.03,0.0,0.0,0.96,0.0
ltp.csv,0.12,0.29,0.36,0.28,0.99,0.08,0.0,0.14,0.0,0.0,0.07,0.07,0.25,0.1,0.12,0.0,0.09
mia.csv,0.43,0.33,0.07,0.27,0.75,0.24,0.0,0.52,0.1,0.31,0.44,0.91,0.28,0.0,0.24,0.15,0.4
net-snmp.csv,0.99,0.52,0.26,0.12,0.29,0.3,0.29,0.57,0.25,0.39,0.47,0.35,0.51,0.31,0.0,0.29,0.43
opde.csv,0.54,0.41,0.4,1.0,0.79,0.44,0.0,0.67,0.2,0.54,0.67,0.21,0.64,0.3,0.15,0.25,0.42
oppna-program-hsatools.csv,0.64,0.5,0.62,0.53,0.82,0.56,0.04,0.57,0.24,0.65,1.0,0.17,0.83,0.36,0.15,0.21,0.45
powerfolder-.csv,0.23,0.97,0.0,0.06,0.11,0.27,0.0,0.0,0.29,0.44,0.31,0.06,0.39,0.17,0.0,0.3,0.06
qlc.csv,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.91,0.0,0.15,0.07,0.1,0.17,0.0,0.25,0.09
tcl.csv,0.32,0.26,0.23,0.3,0.39,0.31,0.0,0.61,0.23,0.97,0.28,0.09,0.36,0.46,0.21,0.28,0.29
