,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.52,0.6,0.28,0.24,0.3,0.96,0.0,0.41,0.2,0.52,0.41,0.48,0.64,0.13,0.53,0.65,0.49
fontforge.csv,0.43,0.33,0.27,0.24,0.42,0.32,0.96,0.97,0.32,0.4,0.27,0.37,0.25,0.3,0.2,0.46,0.32
glas.csv,0.47,0.56,0.2,0.4,0.6,0.59,0.0,0.53,0.37,0.35,0.57,0.65,0.63,0.98,0.52,0.64,0.46
gmerlin.csv,0.18,0.49,0.28,0.32,0.11,0.37,0.96,0.57,0.32,0.35,0.28,0.48,0.52,0.19,0.2,0.5,0.98
hannosset.csv,0.06,0.0,0.09,0.0,0.07,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.04
hatari.csv,0.47,0.55,0.98,0.38,0.53,0.66,0.92,0.25,0.64,0.58,0.6,0.63,0.41,0.31,0.67,0.6,0.43
jaolt.csv,0.53,0.65,0.44,0.61,0.58,0.58,0.84,0.13,0.74,0.5,0.56,0.56,0.97,0.59,0.57,0.56,0.51
jcl.csv,0.0,0.16,0.09,0.05,0.0,0.04,0.0,0.0,0.0,0.1,0.02,0.13,0.01,0.0,0.0,0.94,0.0
ltp.csv,0.09,0.33,0.28,0.19,0.99,0.06,0.0,0.1,0.0,0.0,0.05,0.13,0.18,0.06,0.2,0.0,0.07
mia.csv,0.45,0.27,0.04,0.24,0.66,0.2,0.0,0.55,0.13,0.29,0.3,0.86,0.21,0.0,0.38,0.38,0.52
net-snmp.csv,0.98,0.52,0.2,0.1,0.22,0.27,0.98,0.61,0.52,0.37,0.37,0.55,0.42,0.26,0.0,0.67,0.48
opde.csv,0.58,0.56,0.35,1.0,0.27,0.5,0.0,0.72,0.49,0.54,0.52,0.53,0.55,0.26,0.53,0.58,0.47
oppna-program-hsatools.csv,0.57,0.66,0.62,0.0,0.38,0.63,0.0,0.0,0.21,0.0,1.0,0.09,0.27,0.42,0.51,0.27,0.53
powerfolder-.csv,0.18,0.95,0.0,0.05,0.07,0.27,0.0,0.0,0.32,0.4,0.23,0.07,0.29,0.13,0.0,0.68,0.04
qlc.csv,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.86,0.0,0.1,0.07,0.06,0.13,0.0,0.17,0.07
tcl.csv,0.28,0.34,0.17,0.35,0.32,0.3,0.0,0.63,0.32,0.97,0.2,0.25,0.27,0.5,0.53,0.59,0.26
