,esmf.csv,pentahoanalysistool.csv,phet.csv,voms.csv,aztec.csv,qtractor.csv,acegisecurity.csv,bibedt.csv,kowari.csv,sumatrapdf.csv,irrlicht.csv,modellus.csv,open-data-kit.csv,roller.csv,ultimairis.csv,lportal.csv,jstock.csv,synergyspace.csv
acegisecurity.csv,0.62,0.6,0.58,0.65,0.97,0.75,0.82,0.7,0.46,0.67,0.68,0.55,0.64,0.58,0.97,0.56,0.61,0.55
aztec.csv,0.93,0.5,0.54,0.78,0.96,0.69,0.51,0.83,0.86,0.92,0.94,0.56,0.58,0.5,0.95,0.64,0.61,0.69
bibedt.csv,0.78,0.53,0.7,0.67,0.95,0.78,0.73,0.89,0.8,0.86,0.98,0.48,0.7,0.62,0.95,0.75,0.67,0.89
esmf.csv,0.88,0.41,0.45,0.63,0.75,0.49,0.41,0.56,0.45,0.67,0.52,0.46,0.46,0.36,0.49,0.47,0.38,0.58
irrlicht.csv,0.42,0.49,0.61,0.9,0.42,0.55,0.68,0.47,0.6,0.35,0.5,0.73,0.59,0.53,0.44,0.67,0.48,0.44
jstock.csv,0.86,0.89,0.98,0.75,0.94,0.86,0.95,0.67,0.92,0.5,0.96,0.95,0.92,0.67,0.67,1.0,0.77,0.75
kowari.csv,0.86,0.0,0.0,0.5,0.69,0.0,0.0,0.8,0.75,0.0,0.67,0.0,0.0,0.5,0.88,0.95,0.75,0.8
lportal.csv,0.74,0.95,0.67,0.0,0.77,0.93,0.96,0.75,0.0,0.74,0.99,0.97,0.89,0.5,0.97,0.99,0.74,0.76
modellus.csv,0.59,0.63,0.61,0.53,0.98,0.64,0.53,0.79,0.55,0.39,0.65,0.47,0.63,0.52,0.65,0.51,0.63,0.61
open-data-kit.csv,0.56,0.41,0.47,0.79,0.81,0.48,0.43,0.65,0.63,0.7,0.56,0.46,0.44,0.52,0.71,0.49,0.48,0.57
pentahoanalysistool.csv,0.89,0.65,0.81,0.85,0.94,0.77,0.92,0.75,0.86,0.59,0.97,0.56,0.76,0.64,0.88,0.59,0.83,0.92
phet.csv,0.98,0.63,0.98,0.94,0.46,0.87,0.67,0.65,0.8,0.55,0.98,0.65,0.51,0.67,0.64,0.98,0.39,0.67
qtractor.csv,0.54,0.87,0.75,0.6,0.97,0.5,0.72,0.67,0.43,0.92,0.58,0.68,0.7,0.51,0.94,0.57,0.83,0.92
roller.csv,0.47,0.52,0.49,0.6,0.54,0.43,0.5,0.53,0.39,0.45,0.52,0.4,0.5,0.44,0.45,0.51,0.48,0.59
sumatrapdf.csv,0.62,0.41,0.4,0.55,0.49,0.54,0.37,0.5,0.39,0.68,0.48,0.4,0.48,0.38,0.46,0.43,0.43,0.5
synergyspace.csv,0.96,0.56,0.98,0.86,0.95,0.75,0.58,0.91,0.67,0.93,0.94,0.94,0.96,0.55,0.8,1.0,0.5,0.96
ultimairis.csv,0.53,0.46,0.47,0.59,0.96,0.47,0.48,0.64,0.49,0.47,0.53,0.54,0.56,0.44,0.77,0.49,0.47,0.54
voms.csv,0.88,0.88,0.93,0.89,0.0,0.0,0.86,0.5,0.83,0.91,0.94,0.75,0.88,0.92,0.68,1.0,0.5,0.8
