,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,jmonkeyengine.csv,mediate.csv,e-bio-flow.csv,tmva.csv,matrex.csv,freedom-erp.csv,jchassis.csv,emono.csv,thedata.csv
array4j.csv,0.79,0.93,0.93,0.63,0.77,0.68,0.91,0.84,0.67,0.92,0.55,0.49,0.92,0.97,0.96,0.51,0.93,0.95,0.54
dxengine.csv,0.82,0.0,0.56,0.88,0.63,0.9,0.94,0.89,0.86,0.94,0.86,0.36,0.91,0.95,0.91,0.95,0.8,0.73,0.0
e-bio-flow.csv,0.9,0.76,0.91,0.93,0.8,0.67,0.98,0.93,0.91,0.9,0.83,0.0,0.59,0.76,0.94,0.96,0.5,0.81,0.38
emono.csv,0.83,0.91,0.8,0.91,0.93,0.94,0.85,0.93,0.86,0.5,0.6,0.82,0.94,0.95,0.86,0.95,0.92,0.53,0.48
freedom-erp.csv,0.5,0.67,0.0,0.73,0.75,0.92,0.92,0.75,0.0,0.0,0.0,0.88,0.8,0.0,0.0,0.42,0.8,0.0,0.0
haggle.csv,0.0,0.83,0.55,0.67,0.63,0.92,0.99,0.95,0.49,0.55,0.88,0.9,0.79,0.7,0.46,0.95,0.76,0.64,0.52
jbpm.csv,0.75,0.75,0.75,0.75,0.76,0.88,0.98,0.86,0.86,0.95,0.89,0.92,0.86,0.94,0.67,0.94,0.67,0.0,0.89
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
jmoney.csv,0.5,0.89,0.89,0.58,0.57,0.9,0.92,0.68,0.67,0.75,0.86,0.67,0.73,0.95,0.66,0.96,0.75,0.67,0.73
jmonkeyengine.csv,0.92,0.66,0.94,0.92,0.77,0.76,0.84,0.88,0.93,0.98,0.75,0.44,0.91,0.97,0.96,0.66,0.95,0.86,0.5
jsidplay2.csv,0.41,0.55,0.94,0.41,0.62,0.45,0.49,0.52,0.62,0.94,0.38,0.5,0.4,0.98,0.44,0.32,0.62,0.5,0.35
log4net.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matrex.csv,0.48,0.82,0.5,0.48,0.84,0.67,0.97,0.91,0.88,0.75,0.83,0.45,0.76,0.83,0.46,0.49,0.5,0.67,0.86
mediate.csv,0.85,0.46,0.76,0.68,0.77,0.53,0.63,0.63,0.79,0.62,0.5,0.49,0.44,0.5,0.42,0.77,0.83,0.64,0.52
piccolo2d.csv,0.83,0.74,0.0,0.67,0.8,0.92,0.8,0.0,0.0,0.0,0.0,0.75,0.93,0.0,0.0,0.83,0.0,0.5,0.0
pustefix.csv,0.64,0.67,0.86,0.62,0.67,0.74,0.75,0.72,0.77,0.75,0.62,0.63,0.79,0.97,0.69,0.86,0.75,0.96,0.8
sblim.csv,0.67,0.9,0.0,0.67,0.77,0.5,0.96,0.91,0.0,0.5,0.67,0.5,0.8,0.0,0.96,0.94,0.67,0.0,0.88
thedata.csv,0.0,0.0,0.0,0.0,0.0,0.86,0.96,0.9,0.95,0.0,0.75,0.0,0.5,0.0,0.88,0.91,0.75,0.0,0.75
tmva.csv,0.48,0.4,0.47,0.5,0.48,0.47,0.46,0.51,0.51,0.43,0.38,0.49,0.35,0.53,0.36,0.32,0.56,0.59,0.36
