,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.0,0.46,0.82,1.0,0.67,0.0,0.0,1.0,0.75,0.25
flylegacy.csv,0.41,0.64,0.98,0.16,0.63,0.35,0.18,0.79,0.14,0.45
jguard.csv,0.46,0.5,0.82,0.23,0.74,1.0,0.23,0.79,0.35,0.17
m-a-d-n-e-s-s.csv,0.59,0.67,0.85,0.21,0.76,0.11,0.21,0.75,0.96,0.4
mob-sen-plat.csv,0.25,1.0,0.67,0.09,0.5,0.34,0.25,0.84,0.21,0.5
raygina.csv,0.96,0.5,0.69,0.17,0.61,0.12,0.22,0.82,0.56,0.43
st-filteredstatistics.csv,0.43,0.65,0.74,0.16,0.65,0.33,0.22,1.0,0.39,0.42
upp-mirror.csv,0.54,1.0,0.83,0.3,1.0,0.39,0.21,0.91,0.62,0.35
wishmaster.csv,0.5,0.0,0.88,0.0,0.56,0.18,1.0,0.0,0.0,0.25
yarp.csv,0.43,0.75,0.9,0.12,0.4,0.29,0.16,0.8,0.39,1.0
