,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,67.0,6.0,0.0,0.0,1.0,85.0,74.0,0.0,1.0,0.0
flylegacy.csv,1.0,4.0,0.0,1.0,0.0,1.0,16.0,2.0,12.0,0.0
jguard.csv,3.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,3.0
m-a-d-n-e-s-s.csv,2.0,0.0,0.0,27.0,1.0,0.0,1.0,0.0,0.0,0.0
mob-sen-plat.csv,1.0,0.0,2.0,5.0,2.0,1.0,3.0,0.0,8.0,1.0
raygina.csv,0.0,2.0,2.0,5.0,4.0,11.0,5.0,0.0,0.0,2.0
st-filteredstatistics.csv,0.0,5.0,2.0,17.0,4.0,0.0,9.0,0.0,3.0,2.0
upp-mirror.csv,4.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,1.0,3.0
wishmaster.csv,2.0,52.0,1.0,459.0,0.0,2.0,0.0,51.0,84.0,2.0
yarp.csv,2.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0
