,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.02,0.7,0.27,0.0,0.07,0.0,0.05,0.0,0.02,0.08
flylegacy.csv,0.63,0.65,0.05,0.69,0.68,0.36,0.82,0.46,0.2,0.55
jguard.csv,0.3,0.3,0.41,0.43,0.29,0.0,0.44,0.46,0.68,0.13
m-a-d-n-e-s-s.csv,0.16,0.15,0.36,0.21,0.24,0.14,0.38,0.31,0.02,0.32
mob-sen-plat.csv,0.56,0.0,0.64,0.4,0.34,0.45,0.3,0.23,0.38,0.32
raygina.csv,0.02,0.2,0.59,0.47,0.37,0.39,0.41,0.23,0.13,0.34
st-filteredstatistics.csv,0.58,0.45,0.82,0.62,0.54,0.5,0.77,0.0,0.45,0.58
upp-mirror.csv,0.26,0.0,0.27,0.19,0.0,0.2,0.31,0.08,0.1,0.29
wishmaster.csv,0.05,0.05,0.05,0.04,0.1,0.25,0.0,0.08,0.02,0.08
yarp.csv,0.3,0.15,0.14,0.18,0.22,0.3,0.26,0.08,0.23,0.0
