,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.99,0.67,0.44,0.3,0.88
intact.csv,0.7,0.97,0.04,0.1,0.31
miranda-icq.csv,0.27,0.53,0.9,0.3,0.39
ofbiz.csv,0.38,0.47,0.38,0.1,0.98
roolo.csv,0.02,0.23,0.0,0.95,0.05
