,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,1.0,0.43,0.26,0.35,0.73
intact.csv,0.89,0.97,0.4,0.29,0.79
miranda-icq.csv,0.88,0.31,0.96,0.27,0.78
ofbiz.csv,0.83,0.31,0.25,0.4,0.99
roolo.csv,1.0,0.58,0.0,1.0,0.42
