,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,jmonkeyengine.csv,mediate.csv,e-bio-flow.csv,tmva.csv,matrex.csv,freedom-erp.csv,jchassis.csv,emono.csv,thedata.csv
array4j.csv,0.38,0.53,0.37,0.5,0.33,0.46,0.52,0.36,0.34,0.42,0.24,0.0,0.47,0.18,0.33,0.44,0.0,0.29,0.57
dxengine.csv,0.57,0.42,0.65,0.3,0.74,0.1,0.02,0.36,0.05,0.18,0.07,0.43,0.2,0.21,0.59,0.0,0.0,0.37,0.46
e-bio-flow.csv,0.12,0.07,0.22,0.4,0.39,0.58,0.47,0.36,0.3,0.18,0.44,0.18,0.66,0.25,0.04,0.64,0.0,0.59,0.29
emono.csv,0.54,0.48,0.41,0.46,0.34,0.46,0.36,0.76,0.34,0.51,0.48,0.27,0.49,0.51,0.5,0.38,0.26,0.66,0.53
freedom-erp.csv,0.69,0.29,0.05,0.42,0.06,0.18,0.25,0.38,0.05,0.04,0.0,0.0,0.42,0.01,0.23,0.74,0.0,0.0,0.0
haggle.csv,0.29,0.28,0.3,0.2,0.17,0.57,0.56,0.37,0.55,0.65,0.43,0.3,0.53,0.09,0.18,0.02,0.0,0.07,0.28
jbpm.csv,0.18,0.14,0.09,0.04,0.11,0.0,0.79,0.0,0.16,0.17,0.13,0.0,0.16,0.02,0.06,0.12,0.0,0.0,0.29
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.05,0.0,0.98,0.0,0.0
jmoney.csv,0.81,0.45,0.77,0.65,0.47,0.74,0.67,0.37,0.53,0.47,0.47,0.59,0.56,0.39,0.23,0.36,0.0,0.5,0.28
jmonkeyengine.csv,0.22,0.37,0.61,0.3,0.75,0.17,0.63,0.31,0.59,0.58,0.6,0.47,0.53,0.2,0.21,0.0,0.52,0.2,0.38
jsidplay2.csv,0.57,0.23,0.13,0.76,0.06,0.45,0.45,0.38,0.16,0.22,0.41,0.62,0.34,0.26,0.59,0.33,0.0,0.19,0.26
log4net.csv,0.73,0.6,0.26,0.28,0.27,0.57,0.31,0.98,0.11,0.1,0.0,0.61,0.49,0.19,0.53,0.43,0.0,0.39,0.28
matrex.csv,0.71,0.35,0.35,0.41,0.7,0.35,0.5,0.7,0.0,0.1,0.07,0.63,0.41,0.04,0.83,0.42,0.0,0.19,0.0
mediate.csv,0.44,0.28,0.41,0.4,0.56,0.72,0.65,0.61,0.45,0.57,0.42,0.69,0.46,0.4,0.48,0.48,0.45,0.36,0.29
piccolo2d.csv,0.65,0.48,0.23,0.41,0.49,0.8,0.54,0.7,0.11,0.32,0.37,0.61,0.52,0.3,0.68,0.61,0.0,0.15,0.29
pustefix.csv,0.36,0.0,0.52,0.1,0.27,0.35,0.57,0.37,0.68,0.37,0.69,0.3,0.38,0.59,0.1,0.1,0.53,0.49,0.27
sblim.csv,0.29,0.0,0.69,0.12,0.86,0.27,0.23,0.0,0.52,0.11,0.2,0.06,0.51,0.19,0.04,0.12,0.0,0.33,0.28
thedata.csv,0.61,0.51,0.69,0.64,0.64,0.47,0.36,0.38,0.51,0.52,0.46,0.48,0.5,0.44,0.61,0.42,0.0,0.57,0.99
tmva.csv,0.61,0.59,0.51,0.53,0.29,0.21,0.21,0.59,0.42,0.45,0.43,0.27,0.3,0.75,0.3,0.0,0.0,0.65,0.38
