,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.6,0.37,0.26,0.23,0.05,0.3,0.61,0.25,0.02,0.44,0.36,0.27,0.65,0.61,0.47,0.45
amygdala.csv,0.67,0.07,0.29,0.54,0.23,0.45,0.5,0.26,0.0,0.37,0.2,0.72,0.27,0.64,0.46,0.53
awemud.csv,0.74,0.76,0.32,0.22,0.7,0.28,0.57,0.33,0.01,0.0,0.26,0.59,0.57,0.73,0.5,0.5
bullet.csv,0.78,0.73,0.28,0.53,0.56,0.83,0.51,0.27,0.01,0.0,0.22,0.71,0.33,0.23,0.5,0.68
customwars.csv,0.71,0.64,0.15,0.69,0.71,0.64,0.49,0.22,0.02,0.0,0.32,0.47,0.63,0.65,0.7,0.69
dvd-create.csv,0.62,0.76,0.27,0.26,0.88,0.75,0.5,0.32,0.01,0.0,0.27,0.72,0.37,0.67,0.6,0.73
gbif-indexingtoolkit.csv,0.82,0.66,0.3,0.4,0.85,0.63,0.35,0.42,0.0,0.0,0.25,0.59,0.45,0.48,0.62,0.68
go.csv,0.74,0.77,0.35,0.19,0.55,0.72,0.61,0.26,0.01,0.0,0.26,0.68,0.58,0.72,0.64,0.73
gss.csv,0.81,0.74,0.41,0.65,0.88,0.83,0.59,0.3,0.01,0.0,0.26,0.62,0.49,0.67,0.76,0.79
kwave.csv,0.75,0.78,0.47,0.4,0.89,0.71,0.54,0.29,0.01,0.0,0.25,0.52,0.48,0.71,0.78,0.72
lsb.csv,0.76,0.61,0.25,0.64,0.84,0.77,0.53,0.33,0.01,0.12,0.26,0.63,0.62,0.55,0.51,0.74
mpgravity.csv,0.83,0.74,0.26,0.39,0.84,0.73,0.5,0.32,0.0,0.59,0.26,0.7,0.0,0.79,0.75,0.73
qcad2.csv,0.48,0.59,0.31,0.37,0.59,0.56,0.66,0.24,0.01,0.34,0.21,0.32,0.57,0.53,0.64,0.73
qtwin.csv,0.14,0.0,0.0,0.0,0.0,0.08,0.15,0.26,0.05,0.2,0.22,0.14,0.21,0.53,0.43,0.28
roller.csv,0.79,0.8,0.44,0.39,0.86,0.76,0.51,0.32,0.0,0.33,0.3,0.66,0.45,0.76,0.69,0.5
xinity.csv,0.44,0.72,0.38,0.25,0.78,0.44,0.32,0.29,0.0,0.32,0.24,0.41,0.43,0.44,0.75,0.71
