,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.35,0.38,0.44,0.85,0.39,0.48,0.41,0.33,0.49,0.0,0.31,0.33,0.88,0.33,0.42,0.52
bullet.csv,0.37,0.42,0.41,0.56,0.51,0.36,0.49,0.65,0.72,0.67,0.5,0.59,0.39,0.86,0.38,0.54
customwars.csv,0.36,0.43,0.45,0.64,0.56,0.36,0.45,0.45,0.47,0.0,0.54,0.31,0.36,0.5,0.5,0.44
dvd-create.csv,0.48,0.42,0.48,0.64,0.43,0.44,0.44,0.37,0.52,0.0,0.35,0.36,0.36,0.38,0.38,0.55
gbif-indexingtoolkit.csv,0.44,0.54,0.59,0.57,0.42,0.73,0.6,0.7,0.58,0.0,0.41,0.58,0.39,0.57,0.58,0.49
go.csv,0.45,0.45,0.59,0.72,0.64,0.45,0.45,0.35,0.51,0.0,0.34,0.34,0.42,0.35,0.67,0.52
growl-for-windows.csv,0.37,0.0,0.5,0.0,0.0,0.0,0.42,0.39,0.0,0.0,0.33,0.35,0.37,0.75,0.63,0.89
gss.csv,0.34,0.35,0.37,0.53,0.34,0.32,0.38,0.32,0.43,0.0,0.31,0.29,0.37,0.32,0.31,0.45
kwave.csv,0.42,0.4,0.8,0.55,0.39,0.45,0.47,0.34,0.55,0.83,0.33,0.29,0.31,0.42,0.33,0.44
libarchive.csv,0.35,0.39,0.39,0.77,0.35,0.32,0.43,0.34,0.45,0.33,0.33,0.3,0.38,0.34,0.47,0.44
linux-ntfs.csv,0.46,0.43,0.41,0.62,0.41,0.36,0.54,0.36,0.99,0.39,0.39,0.32,0.4,0.38,0.37,0.51
lsb.csv,0.34,0.49,0.43,0.57,0.4,0.46,0.52,0.55,0.62,0.0,0.36,0.37,0.35,0.42,0.55,0.58
mpgravity.csv,0.41,0.42,0.4,0.58,0.38,0.39,0.47,0.36,0.0,0.71,0.33,0.32,0.32,0.38,0.46,0.45
qcad2.csv,0.45,0.49,0.88,0.7,0.58,0.43,0.47,0.48,0.62,0.67,0.47,0.38,0.35,0.39,0.61,0.48
qtwin.csv,0.89,0.0,0.0,0.0,0.0,0.83,0.86,0.56,1.0,0.86,0.68,0.7,0.83,0.5,0.67,0.0
xinity.csv,0.77,0.41,0.92,0.58,0.44,0.81,0.85,0.52,0.71,0.5,0.36,0.36,0.34,0.6,0.61,0.48
