,ns-3.csv,novembre.csv,open-beos.csv,cornerstone.csv,planeshift.csv,sbml.csv,frogatto.csv,ardour.csv
ardour.csv,0.13,0.38,0.17,0.34,0.24,0.34,0.21,0.01
cornerstone.csv,0.37,0.62,0.22,0.0,0.17,0.06,0.3,0.37
frogatto.csv,0.39,0.55,0.21,0.32,0.48,0.56,0.0,0.46
novembre.csv,0.09,0.0,0.03,0.11,0.11,0.16,0.06,0.14
ns-3.csv,0.05,0.78,0.27,0.38,0.54,0.28,0.52,0.65
open-beos.csv,0.44,0.48,0.0,0.6,0.43,0.28,0.3,0.37
planeshift.csv,0.51,0.75,0.63,0.66,0.07,0.47,0.64,0.86
sbml.csv,0.59,0.78,0.49,0.57,0.59,0.03,0.52,0.63
