,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.42,0.98,0.84,0.65,0.35,0.3,0.89,0.34,0.98,0.61
betoffice.csv,0.89,0.5,0.45,0.77,0.89,1.0,0.53,0.83,0.87,0.84
bnetd.csv,1.0,0.91,0.93,0.74,0.26,0.6,1.0,0.2,1.0,0.93
graphmak.csv,0.0,0.35,0.4,0.63,0.39,0.5,0.6,0.97,0.16,0.45
hazelcast.csv,0.42,0.87,0.22,0.6,0.63,0.0,0.53,0.37,0.76,0.55
megasquirtavr.csv,1.0,0.89,0.05,0.7,0.57,1.0,0.73,1.0,0.82,0.7
pdfedit.csv,0.26,0.59,0.48,0.33,0.43,0.9,0.27,0.37,0.33,0.84
stajistics.csv,0.68,0.37,0.0,0.35,0.85,0.2,0.29,0.46,0.4,0.28
twostep.csv,0.16,0.72,0.33,0.49,0.59,0.0,0.67,0.49,0.16,0.57
xharbour.csv,0.05,0.78,0.63,0.77,0.54,0.2,0.64,0.83,0.22,0.68
