,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.88,0.36,0.23,0.52,0.47,0.94,0.47,0.71,0.37,0.35
betoffice.csv,0.79,0.15,0.2,0.51,0.34,0.81,0.55,0.49,0.34,0.28
bnetd.csv,0.82,0.36,0.23,0.54,0.4,0.81,0.5,0.79,0.36,0.27
graphmak.csv,1.0,0.53,0.33,0.49,0.22,0.82,0.46,0.46,0.5,0.39
hazelcast.csv,0.88,0.38,0.43,0.49,0.36,1.0,0.53,0.63,0.41,0.39
megasquirtavr.csv,0.82,0.27,0.71,0.51,0.19,0.82,0.47,0.53,0.23,0.21
pdfedit.csv,0.91,0.31,0.27,0.71,0.33,0.82,0.45,0.67,0.48,0.31
stajistics.csv,0.83,0.41,0.0,0.53,0.33,0.95,0.58,0.65,0.54,0.52
twostep.csv,0.95,0.39,0.37,0.58,0.39,1.0,0.43,0.63,0.76,0.37
xharbour.csv,0.99,0.39,0.29,0.54,0.39,0.95,0.47,0.5,0.6,0.36
