,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,1.0,0.73,0.53,0.99,0.46,0.47,0.41,0.5,0.56,0.54,0.3,0.0,0.63,1.0,0.84,0.94,0.1,0.62,0.63,0.0
encog-cs.csv,0.0,0.8,0.94,0.83,0.75,0.83,1.0,0.84,0.97,0.87,0.95,0.96,0.97,0.67,0.63,0.94,0.97,0.76,0.89,1.0
extprosys.csv,0.0,0.49,0.89,0.83,0.75,0.47,0.56,0.62,0.71,0.42,0.75,0.89,0.45,0.0,0.64,0.14,1.0,0.4,0.32,0.73
freewrl.csv,1.0,0.35,0.25,0.36,0.61,0.33,0.38,0.24,0.3,0.19,0.25,1.0,0.34,0.0,0.35,0.25,0.29,0.31,0.32,0.0
fulguro.csv,0.0,0.22,0.02,0.02,0.07,0.03,0.05,0.08,0.09,0.02,0.0,0.26,0.3,0.0,0.03,0.03,0.13,0.04,0.0,1.0
geotools.csv,1.0,0.31,0.19,0.11,0.29,0.27,0.21,0.2,0.11,0.63,0.1,0.07,0.35,0.0,0.16,0.42,0.0,0.93,0.37,0.0
ibatisdb.csv,0.0,0.31,0.15,0.06,0.11,0.2,0.31,0.18,0.05,0.21,0.2,0.0,0.19,0.0,0.1,0.94,0.0,0.24,0.21,0.0
intact.csv,1.0,0.9,0.32,0.65,0.68,0.8,0.92,0.77,0.64,1.0,0.6,0.48,0.34,0.33,0.51,0.19,0.68,0.58,0.47,0.73
japano.csv,1.0,0.86,0.77,0.46,0.43,0.7,0.41,1.0,0.7,0.96,0.4,0.78,0.9,0.67,0.77,0.89,0.77,0.6,0.89,0.0
miranda-icq.csv,0.0,0.24,0.38,0.45,0.39,0.53,0.44,0.55,0.3,0.94,0.75,0.96,0.78,0.0,0.29,0.08,0.94,0.46,0.63,0.36
ofbiz.csv,0.0,0.43,0.64,0.22,0.18,0.47,0.05,0.18,0.39,0.44,0.1,0.0,0.52,0.33,0.99,0.5,0.03,0.32,0.74,0.0
opennms.csv,0.0,0.35,0.06,0.03,0.96,0.03,0.23,0.14,0.21,0.31,0.0,0.07,0.19,0.0,0.13,0.14,0.35,0.27,0.0,0.0
papertoolkit.csv,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0,0.04,0.0,0.0
rohxel.csv,1.0,0.73,0.62,0.77,0.82,0.73,1.0,0.83,0.83,0.42,0.95,0.63,0.93,0.67,0.8,0.83,0.77,0.87,0.74,0.82
roolo.csv,0.0,0.18,0.25,0.11,0.14,0.2,0.21,0.18,0.14,0.08,1.0,0.41,0.11,0.33,0.22,0.06,0.19,0.36,0.26,0.27
sevenupdate.csv,1.0,1.0,0.94,0.75,0.54,0.7,0.54,0.6,0.62,0.94,0.3,0.59,0.81,0.67,0.78,0.92,0.16,0.74,0.79,1.0
soar.csv,0.0,0.73,0.58,0.65,0.71,0.77,0.56,0.86,0.74,0.83,0.8,0.48,0.84,0.67,0.76,1.0,1.0,0.74,0.95,0.91
web-cat.csv,0.0,0.18,0.04,0.38,0.21,0.23,0.51,0.43,0.26,0.21,0.55,1.0,0.42,0.0,0.12,0.14,0.94,0.25,1.0,0.27
