,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.12,0.04,0.12,0.0,0.0,0.26,0.17,0.12,0.13,0.55,0.03,0.29,0.0,0.14,0.16
atlc.csv,0.57,0.19,0.48,0.68,0.24,0.64,0.69,0.55,0.91,0.5,0.92,0.49,1.0,0.63,0.21
ipfilter.csv,0.89,0.42,0.64,0.91,0.86,0.84,0.77,0.6,1.0,0.5,0.98,0.69,1.0,0.8,0.16
liferea.csv,0.66,0.33,0.55,0.32,0.24,0.94,0.37,0.23,0.34,0.55,0.33,0.28,0.0,0.31,0.32
miranda-icq.csv,0.57,0.58,0.51,1.0,1.0,0.92,0.26,0.91,0.6,0.5,0.05,0.35,1.0,0.55,0.42
opensim4opencog.csv,0.5,0.33,0.48,0.39,0.0,0.9,0.43,0.25,0.4,0.74,0.36,0.3,0.0,0.39,0.32
pclasses.csv,0.2,0.46,0.03,0.05,0.0,0.14,0.17,0.33,0.04,0.18,0.0,0.0,0.0,0.39,0.21
pfaedit.csv,0.12,0.17,0.41,0.05,0.0,0.4,0.23,0.09,0.02,0.55,0.04,0.0,0.0,0.19,0.0
psrchive.csv,0.25,0.19,0.2,0.82,1.0,0.32,0.66,0.52,0.0,0.47,0.7,0.89,0.0,0.23,0.84
theresa.csv,0.3,0.38,0.28,0.2,0.07,0.24,0.34,0.17,0.04,0.26,0.65,0.37,0.0,0.18,0.53
thrust.csv,0.12,0.23,0.13,0.43,0.52,0.0,0.43,0.49,0.43,0.26,0.32,0.49,0.0,0.4,0.32
tktoolkit.csv,0.48,0.88,0.6,0.86,0.17,0.66,0.46,0.7,0.45,0.66,0.19,0.97,1.0,0.64,1.0
tzod.csv,0.12,0.29,0.32,0.43,0.14,0.46,0.43,0.35,0.28,0.37,0.7,0.45,0.0,0.24,0.37
yaprm.csv,0.3,0.1,0.17,0.05,0.0,0.24,0.11,0.19,0.34,0.32,0.52,0.08,0.0,0.28,0.0
