,awemud.csv,tzod.csv,freebios.csv,k3b.csv,quarkplusplus.csv,powerfolder.csv,loki-lib.csv
awemud.csv,0.99,0.7,0.31,0.5,0.33,0.8,0.38
freebios.csv,0.22,0.3,1.0,0.31,0.58,0.2,0.31
k3b.csv,0.59,0.56,0.29,0.95,0.71,0.8,0.59
loki-lib.csv,0.62,0.74,0.63,0.59,0.38,0.8,0.86
powerfolder.csv,0.0,0.0,0.0,0.02,0.0,1.0,0.0
quarkplusplus.csv,0.29,0.22,0.18,0.36,1.0,1.0,0.38
tzod.csv,0.53,1.0,0.2,0.34,0.46,0.8,0.38
