,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.56,0.56,0.0,0.43,0.81,0.75,0.41,0.83,0.36,0.37
arsenal-1.csv,0.35,0.58,0.42,0.75,0.82,0.75,0.67,0.64,0.77,0.89
barracudamvc.csv,0.44,0.34,0.36,0.33,0.37,0.33,0.33,0.52,0.41,0.41
irplus.csv,0.3,0.28,0.58,0.36,0.4,0.42,0.37,0.4,0.3,0.33
lite.csv,0.44,0.41,0.41,0.86,0.83,0.73,0.57,0.61,0.44,0.83
mevenide.csv,0.37,0.5,0.67,0.67,0.88,0.8,0.0,0.72,0.8,0.6
ontopia.csv,0.83,0.28,0.46,0.4,0.43,0.55,0.36,0.89,0.43,0.36
openintents.csv,0.76,0.55,0.4,0.58,0.79,0.34,0.4,0.7,0.68,0.57
ta3d.csv,0.63,0.8,0.4,0.0,0.58,0.82,0.86,0.89,0.75,0.52
tweetsharp.csv,0.69,0.52,0.45,0.36,0.68,0.56,0.35,0.73,0.49,0.53
