,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.92,0.33,0.0,0.7,0.81,0.58,0.41,0.5,0.77,0.68
arsenal-1.csv,0.81,0.37,0.61,0.75,0.71,0.42,0.67,0.27,0.77,1.0
barracudamvc.csv,0.94,0.45,0.46,0.39,0.86,0.37,0.27,0.19,0.76,0.69
irplus.csv,0.84,0.44,0.58,0.57,0.78,0.54,0.43,0.25,0.73,0.75
lite.csv,0.77,0.31,0.53,0.57,0.83,0.47,0.52,0.43,0.89,0.83
mevenide.csv,0.81,0.38,0.42,0.67,0.69,0.2,1.0,0.61,0.6,0.9
ontopia.csv,0.86,0.4,0.41,0.4,0.95,0.33,0.24,0.22,0.78,0.71
openintents.csv,0.93,0.6,0.43,0.26,0.79,0.38,0.34,0.16,0.61,0.65
ta3d.csv,0.79,0.6,0.44,1.0,0.73,0.64,0.14,0.37,0.75,0.68
tweetsharp.csv,0.88,0.52,0.51,0.41,0.95,0.33,0.25,0.17,0.91,0.7
