,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.15,0.36,0.0,0.23,0.21,0.11,0.32,0.03,0.33,0.38
arsenal-1.csv,1.0,0.36,0.39,0.03,0.36,0.16,0.02,0.58,0.2,0.0
barracudamvc.csv,0.25,0.73,0.97,1.0,0.79,0.95,0.9,0.7,0.87,1.0
irplus.csv,0.7,0.73,0.16,0.39,0.64,0.27,0.41,0.41,0.67,0.38
lite.csv,0.85,0.67,0.52,0.1,0.21,0.18,0.24,0.3,0.13,0.06
mevenide.csv,0.8,0.45,0.23,0.03,0.36,0.09,0.0,0.16,0.13,0.06
ontopia.csv,0.2,0.91,0.71,0.68,0.21,0.5,0.78,0.16,0.73,0.75
openintents.csv,0.1,0.24,0.97,0.45,0.36,0.82,0.56,0.53,0.8,0.81
ta3d.csv,0.45,0.06,0.9,0.0,0.5,0.09,0.15,0.14,0.07,0.5
tweetsharp.csv,0.3,0.39,0.74,0.84,0.14,0.55,0.93,0.45,0.2,0.56
