,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.61,0.5,0.74,0.58,0.68,0.6,0.95,0.63,0.67,0.62
critterding.csv,0.51,0.91,0.63,0.5,0.18,0.4,0.63,0.45,0.49,0.5
enlightenment.csv,0.53,0.53,0.53,0.98,0.59,0.5,0.58,0.34,0.47,0.21
exordium.csv,0.75,0.26,0.95,0.69,0.82,0.67,0.26,0.54,0.4,0.62
google-caja.csv,0.41,0.44,0.47,0.23,0.73,1.0,0.58,0.68,0.56,0.5
itext.csv,0.67,0.32,0.42,0.54,0.68,0.36,0.21,0.34,0.49,1.0
lockss.csv,0.11,0.15,0.21,0.2,1.0,0.15,0.58,0.15,0.04,0.12
modplug.csv,0.82,0.65,0.84,0.72,0.68,0.74,0.79,0.86,1.0,0.56
reactos-mirror.csv,0.97,0.85,0.95,0.38,0.73,0.78,1.0,0.83,0.87,1.0
yafdotnet.csv,0.92,0.68,0.53,0.93,0.68,0.68,1.0,0.97,0.64,0.88
