,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.39,0.43,0.5,0.48,0.38,0.38,0.67,0.45,0.37,0.39
critterding.csv,0.48,0.65,0.53,0.52,0.7,0.62,0.54,0.63,0.58,0.56
enlightenment.csv,0.66,0.56,0.59,0.55,0.56,0.46,0.6,0.66,0.69,0.89
exordium.csv,0.44,0.67,0.72,0.53,0.4,0.42,0.78,0.6,0.54,0.41
google-caja.csv,0.54,0.41,0.52,0.77,0.35,0.35,0.52,0.42,0.42,0.42
itext.csv,0.41,0.83,0.83,0.51,0.39,0.55,0.89,0.69,0.53,0.43
lockss.csv,0.99,0.9,0.91,0.99,0.86,0.93,0.62,0.96,0.67,0.75
modplug.csv,0.38,0.44,0.5,0.42,0.39,0.39,0.48,0.34,0.43,0.52
reactos-mirror.csv,0.64,0.48,0.42,0.7,0.46,0.39,0.39,0.38,0.43,0.43
yafdotnet.csv,0.42,0.48,0.63,0.47,0.45,0.43,0.4,0.53,0.52,0.46
