,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.49,0.49,0.32,0.39,0.41,0.22,0.0,0.26,0.25,0.33
critterding.csv,0.39,0.0,0.5,0.31,0.28,0.3,0.33,0.17,0.46,0.33
enlightenment.csv,0.37,0.22,0.3,0.02,0.35,0.48,0.29,0.27,0.0,0.07
exordium.csv,0.69,0.15,0.0,0.62,0.48,0.3,0.08,0.29,0.08,0.37
google-caja.csv,0.31,0.46,0.36,0.19,0.63,0.0,0.2,0.41,0.21,0.23
itext.csv,0.71,0.29,0.29,0.47,0.37,0.19,0.1,0.17,0.21,0.03
lockss.csv,0.07,0.12,0.12,0.1,0.0,0.07,0.27,0.08,0.04,0.0
modplug.csv,0.69,0.51,0.64,0.56,0.51,0.52,0.55,0.83,0.04,0.2
reactos-mirror.csv,0.01,0.78,0.95,0.27,0.63,0.89,0.96,0.93,0.92,0.97
yafdotnet.csv,0.93,0.9,0.5,0.95,0.61,0.7,0.98,0.02,0.62,0.9
