,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.53,0.48,0.55,0.63,0.4,0.72,0.97,0.63,0.76,0.65
critterding.csv,0.49,0.95,0.41,0.58,0.15,0.53,0.51,0.54,0.58,0.56
enlightenment.csv,0.51,0.59,0.43,0.98,0.39,0.6,0.5,0.39,0.64,0.33
exordium.csv,0.54,0.37,0.97,0.64,0.43,0.75,0.36,0.55,0.56,0.64
google-caja.csv,0.44,0.44,0.38,0.33,0.33,1.0,0.55,0.61,0.68,0.59
itext.csv,0.49,0.39,0.37,0.57,0.42,0.5,0.29,0.43,0.62,0.99
lockss.csv,0.19,0.23,0.27,0.31,1.0,0.26,0.51,0.24,0.07,0.21
modplug.csv,0.58,0.57,0.45,0.68,0.36,0.77,0.49,0.57,0.99,0.64
reactos-mirror.csv,0.98,0.61,0.4,0.48,0.33,0.75,0.45,0.53,0.77,0.7
yafdotnet.csv,0.56,0.49,0.35,0.71,0.32,0.71,0.44,0.97,0.67,0.66
