,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,99.0,98.5,177.0,196.0,1050.0,1692.0,394.0,96.5,88.5,99.0,98.5
azureus.csv,98.5,98.5,292.0,196.0,759.5,624.5,391.5,98.5,564.0,99.0,98.5
forester-atv.csv,99.0,98.5,95.5,92.5,89.5,267.5,394.0,98.5,88.5,98.5,97.5
gabel.csv,55.5,98.5,85.5,97.5,513.0,178.0,194.5,98.5,0.0,95.5,98.5
google-collections.csv,98.5,98.5,292.0,196.0,759.5,376.0,394.0,98.5,564.0,99.0,98.5
javaprofiler.csv,99.0,98.5,193.0,196.0,737.0,376.0,394.0,98.5,182.0,99.0,98.5
mycila.csv,99.0,85.5,292.0,97.5,759.5,170.0,291.5,98.5,468.5,99.0,98.5
neodatis-odb.csv,99.0,98.5,360.5,192.0,666.0,179.0,573.0,89.5,151.0,98.5,96.5
pokenetonline.csv,98.5,98.5,292.0,196.0,660.5,91.5,394.0,98.5,374.0,99.0,97.5
rcp-company-uibindings.csv,98.5,98.5,193.0,194.0,453.5,180.0,97.5,92.5,278.5,99.0,92.5
servicestack.csv,35.5,98.5,69.5,95.5,155.5,237.5,382.0,96.5,184.0,98.5,2.5
