,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.73,0.83,0.31,0.83,0.61,0.93,0.72,0.63,0.48,0.49,0.5
azureus.csv,0.28,1.0,0.98,1.0,1.0,0.91,0.3,0.63,0.9,0.8,0.97
forester-atv.csv,0.67,0.3,0.8,0.87,0.65,0.75,0.87,0.78,0.59,0.8,0.83
gabel.csv,0.99,0.64,0.62,0.85,0.32,0.65,0.76,0.66,1.0,0.77,0.87
google-collections.csv,0.18,1.0,1.0,1.0,1.0,1.0,0.94,0.84,1.0,1.0,0.97
javaprofiler.csv,0.69,0.93,0.55,0.9,0.76,0.97,0.76,0.8,0.41,0.6,0.32
mycila.csv,1.0,0.74,1.0,0.81,0.93,0.32,0.55,0.73,1.0,0.92,0.78
neodatis-odb.csv,1.02,0.82,0.64,0.44,0.84,0.61,0.57,0.83,0.95,0.53,0.72
pokenetonline.csv,0.59,0.88,0.88,0.82,0.83,0.75,0.94,0.29,0.59,0.53,0.79
rcp-company-uibindings.csv,0.34,0.67,0.62,0.83,0.71,0.78,0.57,0.8,0.67,0.13,0.79
servicestack.csv,0.95,0.5,0.79,0.83,1.0,0.91,0.88,0.78,0.32,0.9,0.99
