,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,1.0,0.74,1.0,1.0,1.0,1.0,0.93,1.0,0.45,1.0,1.0,1.0,1.0
bdbbasic.csv,1.0,0.94,0.98,0.93,0.28,0.93,0.77,0.93,1.0,0.69,0.66,1.0,0.95
foursquared.csv,0.99,1.0,0.49,0.27,1.0,0.9,1.0,0.92,1.0,1.0,0.79,0.77,0.75
impala.csv,0.48,1.0,0.97,0.96,0.95,0.9,1.0,0.84,1.0,0.98,1.0,1.02,0.86
jicarilla.csv,0.1,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89,1.0
ng4j.csv,1.07,1.0,0.63,0.43,1.0,0.67,1.0,0.92,1.0,1.0,0.84,0.94,0.46
open-data-kit.csv,1.1,0.64,0.83,0.96,0.76,0.26,0.55,0.84,0.52,0.72,0.54,0.94,0.69
pentahoanalysistool.csv,0.97,1.0,0.27,0.79,1.0,0.93,1.0,1.0,1.0,1.0,1.0,0.96,0.95
tradelink.csv,0.82,0.97,0.64,0.88,0.79,0.59,0.97,0.86,1.0,1.0,0.63,1.0,0.77
turbotrader-bos.csv,0.98,0.84,1.0,0.98,1.0,0.8,0.53,0.98,0.4,0.95,0.96,1.0,0.95
ultimairis.csv,1.0,0.56,1.0,1.0,0.74,1.0,0.71,0.99,1.0,0.43,0.81,1.0,1.0
wikipediardware.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,1.0
yafdotnet.csv,0.97,0.81,0.6,0.83,0.46,0.53,0.4,0.84,0.84,0.64,0.68,0.63,0.62
