,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.5,0.33,0.4,0.33,0.4,0.38,0.33,0.33,0.34,0.39,0.32,0.42,0.39
bdbbasic.csv,0.5,0.83,0.39,0.3,0.58,0.37,0.97,0.32,0.0,0.55,0.4,0.42,0.41
foursquared.csv,0.89,0.0,0.51,0.57,0.0,0.89,0.0,0.75,0.0,0.0,0.83,0.7,0.83
impala.csv,0.69,0.0,0.66,0.83,0.0,0.91,0.0,0.86,0.0,0.5,0.0,0.45,0.54
jicarilla.csv,0.82,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0
ng4j.csv,0.79,0.0,0.4,0.38,0.0,0.7,0.0,0.86,0.0,0.0,0.88,0.42,0.87
open-data-kit.csv,0.58,0.65,0.39,0.31,0.44,0.44,0.43,0.37,0.64,0.41,0.5,0.43,0.47
pentahoanalysistool.csv,0.75,0.0,0.67,0.86,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.75,0.67
tradelink.csv,0.62,0.67,0.54,0.8,0.8,0.74,0.83,0.97,0.0,0.67,0.91,0.0,0.94
turbotrader-bos.csv,0.52,0.37,0.4,0.32,0.4,0.36,0.48,0.32,0.62,0.39,0.33,0.42,0.39
ultimairis.csv,0.5,0.43,0.4,0.33,0.43,0.38,0.77,0.33,0.0,0.86,0.37,0.42,0.39
wikipediardware.csv,0.5,0.4,0.4,0.33,0.4,0.38,0.35,0.33,0.41,0.39,0.32,0.47,0.39
yafdotnet.csv,0.53,0.77,0.38,0.3,0.55,0.38,0.5,0.38,0.97,0.44,0.41,0.57,0.44
