,recall,precision,pf,wins
abbot.csv,0.82,0.42,0.7,233
acdk.csv,0.44,0.52,0.25,594
acegisecurity.csv,0.63,0.44,0.48,402
adaptagrams.csv,0.4,0.5,0.22,589
adobe-source.csv,0.5,0.46,0.34,487
adonthell.csv,0.52,0.39,0.47,231
agilitybook.csv,0.43,0.4,0.4,258
aime.csv,0.3,0.34,0.28,221
alembik.csv,0.27,0.56,0.13,613
algebsql.csv,0.39,0.33,0.5,54
all-plasm.csv,0.33,0.42,0.29,349
alleg.csv,0.5,0.4,0.43,282
alpine.csv,0.73,0.41,0.61,260
alsa.csv,0.67,0.45,0.5,425
amanda.csv,0.54,0.45,0.42,413
amateur-scrolls.csv,0.2,0.34,0.15,306
ambulant.csv,0.65,0.4,0.62,166
amygdala.csv,0.4,0.41,0.37,289
anaxagora.csv,0.63,0.43,0.49,373
apertium.csv,0.35,0.39,0.3,311
applet2app.csv,0.58,0.5,0.35,581
arcallians.csv,0.67,0.45,0.51,408
archive-crawler.csv,0.43,0.42,0.36,343
ardour.csv,0.51,0.51,0.31,587
arianne.csv,0.95,0.38,0.93,45
arm-webradio.csv,0.4,0.41,0.37,289
arsenal-1.csv,0.25,0.48,0.17,522
atlc.csv,0.69,0.39,0.68,126
atomsite.csv,0.72,0.42,0.65,215
atunes.csv,0.61,0.43,0.47,381
auber.csv,0.8,0.41,0.72,181
aubit4gl.csv,0.14,0.4,0.13,375
aufs.csv,0.27,0.33,0.27,195
autat.csv,0.29,0.48,0.18,538
autofac.csv,0.58,0.45,0.45,408
autoopencas.csv,0.3,0.27,0.45,13
autowikibrowser.csv,0.67,0.46,0.49,452
avifile.csv,0.44,0.36,0.49,119
avisynth2.csv,0.03,0.31,0.02,286
awemud.csv,0.57,0.46,0.4,475
aztec.csv,0.37,0.5,0.22,566
azureus.csv,0.86,0.4,0.8,129
baadengine.csv,0.89,0.42,0.77,205
bacnet.csv,0.46,0.45,0.32,469
bacula.csv,0.73,0.42,0.6,292
badtrinity-zero.csv,0.45,0.44,0.33,441
badtrinitycore.csv,0.35,0.44,0.26,444
bdbbasic.csv,0.46,0.41,0.36,365
betoffice.csv,0.71,0.33,0.83,2
bibedt.csv,0.54,0.45,0.39,457
bibletime.csv,0.7,0.43,0.53,381
bigdata.csv,0.44,0.41,0.37,322
biodwh.csv,0.31,0.52,0.16,596
bionote.csv,0.35,0.5,0.19,588
biopax.csv,1.0,0.39,1.0,30
bl-toolkit.csv,0.7,0.38,0.71,88
bloodycore.csv,0.21,0.4,0.18,370
blue-c.csv,0.76,0.43,0.64,276
bnetd.csv,0.77,0.39,0.7,157
bochs.csv,0.72,0.39,0.63,201
boost-sandbox.csv,0.56,0.37,0.55,141
boost.csv,0.6,0.46,0.43,465
botsnscouts.csv,0.63,0.48,0.43,516
buddata-ebxml-registry.csv,0.97,0.38,0.94,49
bullet.csv,0.6,0.39,0.57,175
bulmages.csv,0.17,0.33,0.12,305
bwapi.csv,0.96,0.37,0.96,27
bzbyte.csv,0.22,0.1,0.16,40
calcubetimer.csv,0.74,0.39,0.65,193
capcode.csv,0.59,0.39,0.58,157
carabiner.csv,0.69,0.44,0.53,387
cascading.csv,0.69,0.44,0.52,402
chaosrts.csv,0.53,0.42,0.43,339
chaperon.csv,0.41,0.36,0.44,140
checker-framework.csv,0.86,0.39,0.81,105
chipster.csv,0.15,0.38,0.12,368
chrysalis.csv,0.48,0.5,0.29,575
cities3d.csv,0.27,0.39,0.21,369
clamav.csv,0.74,0.41,0.6,284
cleartk.csv,0.74,0.4,0.65,204
cme.csv,0.0,0.0,0.0,3
co-ode-owl-plugins.csv,0.5,0.41,0.46,254
codeblocks.csv,0.63,0.46,0.42,497
codepurge.csv,0.53,0.45,0.41,418
codesmith.csv,0.64,0.38,0.65,112
columba.csv,0.64,0.46,0.45,471
continuum-ide.csv,0.17,0.4,0.16,354
coot.csv,0.5,0.35,0.47,164
cornerstone.csv,0.27,0.53,0.13,601
cortex-vfx.csv,0.38,0.5,0.24,551
crisscross.csv,0.93,0.38,0.9,61
crux-framework.csv,0.27,0.41,0.23,372
ctrlr.csv,0.23,0.28,0.34,53
cubefs.csv,0.53,0.39,0.49,216
cuberok.csv,0.56,0.43,0.46,340
customsagetv.csv,0.14,0.5,0.09,548
customwars.csv,0.52,0.5,0.33,554
dataobjectsdotnet.csv,0.65,0.41,0.55,267
decidr.csv,0.87,0.39,0.81,116
delphilhlplib.csv,0.66,0.43,0.52,350
doomlegacy.csv,0.71,0.46,0.59,342
dspace-gsoc.csv,0.71,0.45,0.56,379
dsworkbench.csv,0.07,0.33,0.07,281
dvd-create.csv,0.73,0.42,0.61,273
dxengine.csv,0.34,0.39,0.31,288
e-bio-flow.csv,0.32,0.47,0.19,537
echongl.csv,0.5,0.43,0.41,357
elateportal.csv,0.58,0.4,0.5,258
electric-core.csv,0.76,0.43,0.59,346
elmo.csv,0.29,0.44,0.24,415
elvishrayrenderer.csv,0.35,0.38,0.33,250
emeraldemu.csv,0.45,0.48,0.3,525
emisview.csv,0.2,0.43,0.12,478
emite.csv,0.27,0.46,0.2,476
emono.csv,0.69,0.4,0.67,139
empserver.csv,0.76,0.4,0.68,186
empyrean.csv,0.0,0.0,0.0,3
emulemorph.csv,0.02,0.21,0.01,162
encog-cs.csv,0.79,0.37,0.8,58
encog-java.csv,0.08,0.4,0.05,429
enlightenment.csv,1.0,0.39,1.0,30
enzo.csv,0.94,0.38,0.92,49
esmf.csv,0.67,0.42,0.56,292
etherboot.csv,0.48,0.17,0.28,148
etics.csv,0.4,0.54,0.21,606
exist.csv,0.94,0.4,0.91,73
exl.csv,0.5,0.41,0.45,267
exordium.csv,0.62,0.47,0.44,481
extprosys.csv,0.79,0.38,0.75,111
factor.csv,0.15,0.44,0.09,484
fceugc.csv,0.4,0.39,0.39,230
ffigo.csv,0.2,0.39,0.17,353
fido.csv,0.0,0.0,0.0,3
findbugs.csv,0.61,0.44,0.46,406
firebreath.csv,0.56,0.48,0.37,528
fityk.csv,0.65,0.45,0.49,419
fleet-simulator.csv,0.88,0.4,0.79,149
flexpay.csv,0.43,0.38,0.4,229
fltk.csv,0.61,0.44,0.47,399
fluent-nhibernate.csv,0.33,0.5,0.2,557
fluidium.csv,0.01,0.11,0.02,52
flylinkdc.csv,0.82,0.4,0.74,159
fm-classic.csv,0.1,0.45,0.07,482
fmri-dmt.csv,0.58,0.34,0.69,18
fontforge.csv,0.92,0.4,0.84,129
forester-atv.csv,0.17,0.41,0.13,414
foursquared.csv,0.14,0.4,0.09,429
free-evolution.csv,0.52,0.43,0.42,366
freebios.csv,0.45,0.35,0.51,92
freedom-erp.csv,0.12,0.33,0.1,287
freelords.csv,0.76,0.42,0.63,273
freenet.csv,0.87,0.38,0.87,54
freewrl.csv,0.75,0.41,0.64,238
fritzing.csv,0.55,0.47,0.35,530
frogatto.csv,0.84,0.41,0.7,238
ftm.csv,0.24,0.61,0.1,617
fulguro.csv,0.54,0.33,0.56,78
fw4spl.csv,0.46,0.45,0.35,439
gabel.csv,0.34,0.54,0.18,603
galaxium.csv,0.6,0.49,0.39,543
gbif-indexingtoolkit.csv,0.37,0.37,0.39,182
gbif-providertoolkit.csv,0.32,0.41,0.25,392
gdis.csv,0.6,0.42,0.51,297
gebr.csv,0.96,0.39,0.91,75
genecys.csv,0.6,0.39,0.62,126
genoviz.csv,0.1,0.62,0.03,616
geochat.csv,0.41,0.37,0.42,178
geogebra.csv,0.49,0.5,0.29,581
geotools.csv,0.77,0.41,0.67,217
gephex.csv,0.83,0.38,0.83,62
gisgraphy.csv,0.28,0.44,0.2,462
glas.csv,0.64,0.45,0.46,449
glelite.csv,0.92,0.4,0.89,77
gmerlin.csv,0.85,0.33,0.75,96
gnome-jabber.csv,0.63,0.41,0.55,249
gnukeda.csv,0.56,0.39,0.55,165
gnupdate.csv,0.5,0.41,0.43,299
gogoego.csv,0.71,0.43,0.55,357
google-caja.csv,0.81,0.44,0.61,388
google-collections.csv,1.0,0.38,1.0,22
google-gears.csv,0.74,0.41,0.65,217
google-web-toolkit.csv,0.56,0.47,0.38,504
gpac.csv,0.63,0.38,0.65,103
gpsmid.csv,0.73,0.38,0.73,88
grafx2.csv,0.51,0.46,0.38,459
graphmak.csv,0.5,0.4,0.45,253
gretl.csv,0.68,0.45,0.53,396
grisbi.csv,0.92,0.39,0.87,85
growl-for-windows.csv,0.26,0.27,0.12,301
gss.csv,0.79,0.42,0.63,304
gstreamer.csv,0.76,0.4,0.71,149
gtad.csv,0.31,0.57,0.13,614
guineu.csv,0.35,0.34,0.44,82
gusanos.csv,0.46,0.47,0.3,518
gwanted.csv,0.39,0.49,0.23,556
gzigzag.csv,0.36,0.54,0.18,607
h2database.csv,0.28,0.56,0.14,611
haggle.csv,0.28,0.43,0.19,461
hannosset.csv,0.17,0.33,0.19,213
haphazard.csv,0.42,0.38,0.42,200
hazelcast.csv,0.7,0.44,0.51,423
hibernate.csv,0.69,0.46,0.49,465
htmlunit.csv,0.51,0.5,0.29,590
httpcontentparser.csv,0.53,0.4,0.46,266
hydrate.csv,0.21,0.39,0.15,400
hydrogen.csv,1.0,0.38,1.0,22
iaml.csv,0.3,0.41,0.27,333
ibatisdb.csv,0.25,0.43,0.2,420
icescrum.csv,0.43,0.5,0.26,566
ifmo-game-1.csv,0.14,0.39,0.11,391
ildjit.csv,0.2,0.33,0.26,152
illumination.csv,0.39,0.3,0.42,86
img-browse-sort.csv,0.57,0.49,0.38,536
impala.csv,0.39,0.36,0.4,173
ingex.csv,0.62,0.38,0.6,142
inkscape.csv,0.8,0.41,0.75,146
intact.csv,0.49,0.42,0.41,328
ipfilter.csv,0.75,0.37,0.76,65
ipfire-wall.csv,0.37,0.45,0.26,469
irplus.csv,0.47,0.52,0.27,594
irrlicht.csv,1.0,0.35,1.0,14
itext.csv,0.82,0.44,0.68,295
ivatamasks.csv,0.92,0.39,0.86,96
ivataopenportal.csv,0.91,0.4,0.84,122
ivef-sdk.csv,0.49,0.29,0.54,37
jahshaka.csv,0.56,0.47,0.39,490
jahshakafx.csv,0.54,0.5,0.33,575
jam-daq.csv,0.17,0.5,0.09,561
jaolt.csv,0.69,0.44,0.55,352
japano.csv,0.71,0.35,0.81,12
jaql.csv,0.34,0.5,0.19,581
jas.csv,0.35,0.39,0.33,264
jasperreports.csv,0.77,0.39,0.75,105
java-gnome.csv,0.35,0.4,0.33,282
javagroups.csv,0.55,0.37,0.58,110
javaprofiler.csv,0.8,0.4,0.71,179
jaxen.csv,0.72,0.37,0.73,74
jaxlib.csv,0.37,0.44,0.27,448
jbasic.csv,0.75,0.39,0.67,175
jbpm.csv,0.0,0.01,0.0,11
jcache.csv,0.74,0.43,0.59,325
jcae.csv,0.28,0.5,0.15,582
jchassis.csv,0.0,0.0,0.0,3
jcl.csv,0.47,0.42,0.4,324
jedit.csv,0.87,0.41,0.77,176
jfreereport.csv,0.23,0.5,0.13,561
jgameai.csv,0.31,0.33,0.39,98
jgnash.csv,0.61,0.43,0.46,398
jgossipforum.csv,0.36,0.46,0.24,497
jguard.csv,0.88,0.37,0.89,35
jhotdraw.csv,0.41,0.33,0.46,93
jitterbit.csv,0.67,0.46,0.49,452
jmol.csv,0.87,0.39,0.83,94
jmoney.csv,0.57,0.47,0.38,513
jmonkeyengine.csv,0.62,0.34,0.61,94
jmule.csv,0.73,0.45,0.55,408
jnode.csv,0.11,0.34,0.1,296
joustsim.csv,0.76,0.4,0.68,186
jparsec.csv,0.8,0.42,0.67,255
jpaul.csv,0.07,0.21,0.03,172
jppf-project.csv,0.58,0.35,0.65,48
jrdf.csv,0.32,0.44,0.24,444
jrefactory.csv,0.55,0.42,0.45,328
jruby.csv,0.31,0.43,0.24,420
jsecurity.csv,0.32,0.46,0.21,501
jsidplay2.csv,0.57,0.37,0.56,137
jsr308-langtools.csv,0.78,0.39,0.67,201
jstock.csv,0.47,0.5,0.29,561
jython.csv,0.27,0.38,0.29,236
k3b.csv,0.86,0.4,0.78,145
k3d.csv,0.18,0.4,0.16,370
keyczar.csv,0.06,0.21,0.09,109
kftpgrabber.csv,0.35,0.49,0.2,560
kindb.csv,0.65,0.47,0.47,468
kmatplot.csv,0.41,0.42,0.28,443
kmess.csv,0.23,0.4,0.16,412
kml.csv,0.96,0.4,0.92,76
knowledge.csv,0.79,0.42,0.67,244
kolmafia.csv,0.8,0.42,0.67,255
konversation.csv,0.41,0.44,0.33,405
kowari.csv,0.56,0.38,0.56,142
ktc.csv,0.45,0.51,0.25,593
kvs.csv,0.27,0.38,0.28,247
l2j.csv,0.58,0.45,0.45,408
lamp.csv,0.65,0.42,0.5,355
lazarus-ccr.csv,0.67,0.36,0.73,40
lcfizvtop.csv,0.59,0.44,0.44,415
ldview.csv,0.9,0.39,0.86,80
les-indemodables.csv,0.55,0.47,0.37,509
levent.csv,0.55,0.43,0.39,437
libarchive.csv,0.81,0.43,0.67,280
libmesh.csv,0.17,0.31,0.22,151
libopenmetaverse.csv,0.98,0.39,0.97,38
libtorrent.csv,0.86,0.4,0.79,134
linux-ntfs.csv,0.64,0.41,0.55,260
linuxsh.csv,0.18,0.42,0.12,456
lite.csv,0.33,0.4,0.27,347
lmms.csv,0.49,0.49,0.31,549
lockss.csv,0.4,0.52,0.21,599
log4net.csv,0.24,0.43,0.19,426
logicmail.csv,1.0,0.38,1.0,22
loki-lib.csv,0.62,0.44,0.48,394
lphant.csv,0.55,0.47,0.36,519
lportal.csv,0.06,0.5,0.02,557
lsb.csv,0.67,0.44,0.52,383
lufa-lib.csv,0.54,0.39,0.51,201
m-a-d-n-e-s-s.csv,0.22,0.5,0.12,566
m-m-m.csv,0.76,0.4,0.7,159
madman.csv,0.33,0.38,0.29,294
magicwars.csv,1.0,0.38,1.0,22
massiv.csv,0.04,0.33,0.03,309
matrex.csv,0.13,0.45,0.07,508
maya-work-in-progress.csv,0.87,0.41,0.74,214
mbse.csv,0.6,0.44,0.48,374
mcmc-jags.csv,0.8,0.41,0.69,218
mcore3d.csv,0.57,0.47,0.38,513
mecat.csv,0.1,0.61,0.03,615
mediaportal.csv,0.21,0.56,0.1,608
mediate.csv,0.43,0.5,0.26,566
megameknet.csv,0.7,0.42,0.59,273
mesa3d.csv,0.55,0.41,0.46,303
metacosm.csv,0.42,0.44,0.31,441
mevenide.csv,0.17,0.56,0.07,610
mia.csv,0.24,0.45,0.18,463
micomt.csv,0.71,0.45,0.57,364
migen.csv,0.41,0.5,0.25,561
mimosa.csv,0.86,0.39,0.81,105
minig.csv,0.61,0.39,0.74,30
miranda-icq.csv,0.62,0.43,0.49,359
miranda.csv,0.31,0.45,0.2,493
moast.csv,0.55,0.36,0.51,168
mob-sen-plat.csv,0.81,0.43,0.65,308
mobicents.csv,0.71,0.42,0.6,270
modellus.csv,0.5,0.5,0.3,579
modplug.csv,0.9,0.4,0.84,117
monetdb.csv,0.39,0.51,0.23,586
motu.csv,0.62,0.45,0.45,446
moviesandbox.csv,0.5,0.41,0.43,299
moving-pictures.csv,0.41,0.46,0.27,502
mp-rechnungs-und-kundenverwaltung.csv,0.4,0.5,0.24,566
mpgravity.csv,0.85,0.41,0.72,223
mplayer-ce.csv,0.76,0.42,0.67,225
mptvseries.csv,0.35,0.54,0.18,605
mscore.csv,0.78,0.42,0.67,240
mule.csv,0.31,0.42,0.26,380
multitude.csv,0.79,0.42,0.68,233
mumble.csv,0.6,0.41,0.49,307
mvdsv.csv,0.05,0.41,0.04,431
mvnforum.csv,0.31,0.32,0.41,69
mycila.csv,0.82,0.37,0.82,58
myfaces.csv,0.54,0.5,0.31,590
n2cms.csv,0.63,0.47,0.44,485
nabu-library.csv,0.41,0.4,0.38,265
nassp.csv,0.21,0.48,0.13,532
nativeclient.csv,0.66,0.45,0.49,428
natpad.csv,0.48,0.46,0.34,475
nebuladevice.csv,0.31,0.3,0.42,44
neodatis-odb.csv,0.27,0.5,0.18,545
neoengine.csv,0.78,0.42,0.64,278
net-snmp.csv,0.64,0.4,0.58,210
netatalk.csv,0.8,0.4,0.72,166
ng4j.csv,0.68,0.45,0.5,433
ngl.csv,0.73,0.41,0.61,260
nh3d.csv,1.0,0.38,1.0,22
nicepress.csv,0.61,0.42,0.48,343
ninject.csv,0.42,0.37,0.43,174
nodal.csv,0.3,0.41,0.26,348
nosleepsoftware.csv,0.06,0.29,0.08,206
nova.csv,0.37,0.38,0.4,183
novembre.csv,0.43,0.47,0.28,518
ns-3-dev-def-routing.csv,0.54,0.43,0.42,385
nsis.csv,0.6,0.34,0.7,19
nunit.csv,0.52,0.37,0.58,87
octave.csv,0.38,0.42,0.32,355
octet.csv,0.52,0.39,0.49,209
ofbiz.csv,0.62,0.38,0.6,142
officefloor.csv,0.41,0.5,0.24,579
ogre.csv,0.63,0.38,0.63,125
ogrehg.csv,0.49,0.49,0.31,549
olap-navigator.csv,0.59,0.46,0.4,487
olex2.csv,0.43,0.48,0.29,522
omseek.csv,0.23,0.53,0.11,598
ondex.csv,0.39,0.5,0.23,575
onotoa.csv,0.44,0.39,0.45,193
ontomorphtab.csv,0.77,0.44,0.58,394
ontopia.csv,0.68,0.41,0.61,217
oorexx.csv,0.29,0.46,0.19,501
open-beos.csv,0.55,0.48,0.35,542
open-data-kit.csv,0.68,0.44,0.53,378
open-media-library.csv,0.61,0.44,0.48,383
open-ms.csv,0.43,0.47,0.3,495
opendvr.csv,0.23,0.38,0.21,310
openefm.csv,0.36,0.48,0.24,525
openfrag.csv,0.7,0.43,0.62,245
opengs.csv,0.46,0.46,0.32,483
openintents.csv,0.64,0.36,0.74,21
openmalaria.csv,0.76,0.43,0.61,314
openmeetings.csv,0.51,0.49,0.3,574
openmsx.csv,0.55,0.38,0.55,148
opennms.csv,0.22,0.38,0.23,271
opensim4opencog.csv,0.64,0.45,0.47,438
openwbem.csv,0.52,0.47,0.38,473
openxava.csv,0.38,0.44,0.3,415
oppna-program-hsatools.csv,0.7,0.41,0.61,232
orc.csv,0.34,0.5,0.2,567
oscarmcmaster.csv,0.56,0.5,0.36,551
ossbuild.csv,0.46,0.45,0.34,449
owfs.csv,0.83,0.42,0.71,228
owlapi.csv,0.45,0.36,0.49,124
owlib.csv,0.64,0.47,0.44,495
paintown.csv,0.79,0.41,0.73,162
pamguard.csv,0.56,0.43,0.44,376
panda3d.csv,0.43,0.41,0.36,327
papertoolkit.csv,0.25,0.42,0.21,397
passwordsafe.csv,0.72,0.43,0.6,298
patterntesting.csv,0.94,0.39,0.9,72
pcgen.csv,0.89,0.39,0.87,70
pclasses.csv,0.33,0.38,0.31,263
pcsx2.csv,0.68,0.42,0.57,285
pentahoanalysistool.csv,0.63,0.36,0.63,102
personalaccess.csv,0.5,0.5,0.31,561
pfaedit.csv,0.53,0.48,0.38,492
pgui.csv,0.65,0.36,0.52,237
phet.csv,0.38,0.29,0.57,1
phonon-vlc-mplayer.csv,0.56,0.48,0.37,528
pi-qmc.csv,0.64,0.41,0.53,289
piccolo2d.csv,0.32,0.54,0.15,609
pidgin.csv,0.55,0.45,0.4,449
pixel-commandos.csv,0.21,0.45,0.15,474
planeshift.csv,0.91,0.4,0.85,115
plato.csv,0.98,0.38,0.98,28
playerstage.csv,0.55,0.46,0.39,471
plearn.csv,0.48,0.43,0.41,335
plplot.csv,0.7,0.4,0.63,196
pnotepad.csv,0.83,0.42,0.69,255
pokeglobal.csv,0.83,0.4,0.79,120
pokenetonline.csv,0.82,0.42,0.7,233
poormans.csv,0.3,0.42,0.28,334
popeye-chess.csv,0.5,0.49,0.33,540
power-architect.csv,0.93,0.39,0.9,67
powerfolder.csv,0.45,0.48,0.3,525
ppcboot.csv,0.97,0.39,0.96,40
prelude.csv,0.94,0.38,0.91,60
primefaces.csv,0.95,0.39,0.93,55
proftp.csv,0.2,0.45,0.12,500
projecteqemu.csv,0.5,0.48,0.32,538
projectfactory.csv,0.6,0.42,0.49,318
projectts.csv,0.43,0.49,0.26,553
pustefix.csv,0.32,0.43,0.27,393
pydev.csv,0.62,0.47,0.42,504
qcad2.csv,0.62,0.43,0.49,359
qdvdauthor.csv,0.58,0.39,0.55,184
qedo.csv,0.18,0.26,0.31,34
qgis.csv,0.58,0.42,0.47,328
qgo.csv,0.85,0.42,0.74,212
qlc.csv,0.45,0.46,0.29,512
qmmp.csv,0.69,0.42,0.58,277
qpe.csv,0.51,0.48,0.35,515
qse.csv,0.56,0.44,0.46,363
qtractor.csv,0.54,0.48,0.35,532
qtwin.csv,0.12,0.4,0.07,439
quantlib.csv,0.29,0.26,0.42,16
quark.csv,0.13,0.57,0.05,612
quarkplayer.csv,0.21,0.35,0.23,224
quarkplusplus.csv,0.51,0.45,0.36,463
quickfast.csv,0.82,0.43,0.7,246
raven-monitoring.csv,0.48,0.36,0.47,162
raygina.csv,0.44,0.49,0.28,547
rcp-company-uibindings.csv,0.5,0.48,0.34,517
re2c.csv,0.39,0.36,0.39,189
reactos-mirror.csv,0.67,0.44,0.49,422
reaper3d.csv,0.39,0.4,0.33,317
rebecca-aiml.csv,0.73,0.41,0.6,272
red5.csv,0.91,0.4,0.84,122
redshell.csv,0.52,0.34,0.59,57
repositorium.csv,0.23,0.28,0.32,64
rezilla.csv,0.58,0.4,0.53,222
rhex.csv,0.26,0.43,0.2,432
riff-evolve.csv,0.52,0.52,0.28,602
robocode.csv,0.66,0.44,0.5,402
rockbox.csv,0.47,0.47,0.32,504
rocrail.csv,0.62,0.45,0.45,446
rodin-b-sharp.csv,0.3,0.33,0.37,112
rohxel.csv,0.25,0.46,0.17,494
roller.csv,0.88,0.39,0.83,99
roolo.csv,0.72,0.4,0.68,154
rosegarden.csv,0.62,0.46,0.42,488
rsyslog.csv,0.7,0.44,0.58,316
rtb-team.csv,0.16,0.41,0.11,435
rtrt-on-gpu.csv,0.41,0.36,0.46,128
runuomondains.csv,0.63,0.46,0.46,460
salasaga.csv,0.57,0.43,0.44,385
sandiaportals.csv,0.67,0.43,0.54,331
sauerbraten.csv,0.93,0.39,0.88,80
sblim.csv,0.25,0.42,0.18,436
sbml.csv,0.68,0.43,0.52,377
scenemonitor.csv,0.2,0.39,0.2,311
scite-ru.csv,0.9,0.4,0.85,104
selenium.csv,0.52,0.5,0.32,567
sepgsql.csv,0.45,0.52,0.25,597
servicestack.csv,0.04,0.33,0.02,320
sidekar.csv,0.0,0.0,0.0,3
sigil.csv,0.59,0.48,0.41,507
silvertree.csv,0.72,0.39,0.67,153
simplewebservices.csv,0.77,0.41,0.65,243
skia.csv,0.5,0.45,0.38,433
smartgwt.csv,0.47,0.41,0.38,336
smarttag.csv,0.58,0.44,0.44,406
smbopensoft.csv,0.66,0.4,0.64,154
snakeyaml.csv,0.43,0.48,0.3,511
soar.csv,0.92,0.38,0.93,33
somap.csv,0.92,0.37,0.9,44
springside.csv,0.6,0.42,0.49,318
st-filteredstatistics.csv,0.88,0.39,0.83,99
stajistics.csv,0.62,0.42,0.51,313
stemkit.csv,0.27,0.38,0.28,247
