,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.48,0.38,0.72,0.53,0.52,0.5,0.1,0.65,0.46,0.3
fritzing.csv,0.74,0.74,0.74,0.6,0.77,0.75,0.2,0.3,0.71,0.55
jlinalg.csv,0.8,0.36,0.82,0.83,0.66,1.0,0.8,0.95,0.71,0.66
knowledge.csv,0.78,0.9,0.83,0.9,0.84,0.75,0.2,0.65,0.62,0.7
massiv.csv,0.14,0.32,0.36,0.0,0.0,1.0,0.0,0.6,0.0,0.19
oscarmcmaster.csv,0.38,0.26,0.25,0.57,0.69,0.75,0.1,0.7,0.25,0.6
playerstage.csv,0.58,0.66,0.82,0.74,0.71,0.5,0.1,0.35,0.38,0.62
quarkplusplus.csv,0.82,0.78,0.76,0.5,0.61,1.0,0.1,0.9,0.62,0.34
rtrt-on-gpu.csv,0.3,0.42,0.15,0.33,0.37,0.25,0.6,0.15,0.17,0.36
superwaba.csv,0.36,0.7,0.68,0.5,0.52,0.75,0.3,0.9,0.29,0.45
