,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.34,0.42,0.0,0.93,0.19,0.38,0.55,0.36,0.53,0.11,0.33,0.0,0.42,0.15,0.45,0.37
betoffice.csv,0.02,0.35,0.18,0.21,0.37,0.16,0.28,0.89,0.38,0.42,0.31,0.27,0.36,0.2,0.34,0.38
bnetd.csv,0.67,0.78,0.68,0.72,0.67,0.63,0.23,0.59,0.67,0.43,0.96,0.6,0.43,0.59,0.61,0.52
elvishrayrenderer.csv,0.55,0.57,0.52,0.71,0.43,0.59,0.47,0.33,0.57,0.35,0.37,0.5,0.52,0.44,0.6,1.0
emisview.csv,0.35,0.0,0.23,0.61,0.42,1.0,0.26,0.31,0.39,0.0,0.0,0.31,0.24,0.17,0.51,0.07
findbugs.csv,0.42,0.56,0.38,0.31,0.25,0.4,0.33,0.34,0.41,0.43,0.49,0.3,0.97,0.25,0.26,0.29
hazelcast.csv,0.48,0.66,0.61,0.67,1.0,0.0,0.43,0.52,0.48,0.0,0.68,0.0,0.35,0.48,0.67,0.63
jitterbit.csv,0.42,0.72,0.39,0.36,0.48,0.43,0.2,0.23,0.95,0.34,0.54,0.16,0.5,0.49,0.59,0.36
jppf-project.csv,0.64,0.0,0.0,0.0,0.79,0.33,0.61,0.0,0.39,0.0,0.0,0.97,0.32,0.0,0.66,0.0
megasquirtavr.csv,0.3,0.25,0.74,0.62,0.52,0.37,0.56,0.5,0.7,0.3,0.1,0.62,0.51,0.35,0.55,0.47
stajistics.csv,0.41,0.25,0.39,0.63,0.47,0.59,0.2,0.11,0.49,0.46,0.27,0.31,0.61,0.58,0.99,0.59
trackit.csv,0.42,0.46,0.35,0.45,0.48,0.29,0.96,0.34,0.33,0.56,0.3,0.38,0.57,0.7,0.44,0.42
tweetsharp.csv,0.47,0.54,0.39,0.44,0.57,0.61,0.59,0.44,0.6,0.46,0.44,0.47,0.65,0.96,0.57,0.45
wxlua.csv,0.27,0.21,0.44,0.39,0.0,0.16,0.53,0.57,0.52,0.97,0.3,0.49,0.46,0.26,0.46,0.53
x4x.csv,1.0,0.37,0.34,0.53,0.63,0.42,0.53,0.41,0.43,0.48,0.26,0.53,0.38,0.32,0.55,0.26
xharbour.csv,0.0,0.99,0.69,0.44,0.35,0.44,0.33,0.47,0.32,0.52,0.24,0.61,0.33,0.41,0.32,0.38
