,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.08,0.05,1.0,0.0,0.2,0.47,0.48,0.42,0.77,0.25,0.03,1.0,0.4,0.07,0.42,0.11
betoffice.csv,0.08,0.53,0.07,0.43,0.3,0.09,0.17,0.0,0.33,0.38,0.51,0.25,0.36,0.13,0.32,0.44
bnetd.csv,0.58,0.53,0.38,0.52,0.2,0.55,0.35,0.67,0.48,0.25,0.0,0.75,0.84,0.6,0.45,0.78
elvishrayrenderer.csv,0.5,0.42,0.56,0.46,0.8,0.64,0.39,0.36,0.41,0.88,0.23,0.75,0.53,0.6,0.38,0.0
emisview.csv,0.25,0.0,0.25,0.28,0.3,0.0,0.04,0.18,0.14,0.0,0.0,0.5,0.44,0.4,0.17,0.0
findbugs.csv,0.33,0.21,0.81,0.26,0.8,0.17,0.17,0.38,0.18,0.38,0.49,0.12,0.0,0.13,0.51,0.44
hazelcast.csv,0.83,0.47,0.33,0.67,0.0,1.0,0.83,0.78,0.83,1.0,0.54,1.0,0.89,0.8,0.68,0.61
jitterbit.csv,0.33,0.26,0.86,0.22,0.3,0.28,0.09,0.24,0.0,0.5,0.31,0.0,0.2,0.27,0.45,0.28
jppf-project.csv,0.67,1.0,1.0,1.0,0.3,0.91,0.57,1.0,0.83,1.0,1.0,0.12,0.91,1.0,0.52,1.0
megasquirtavr.csv,0.92,0.05,0.0,0.43,0.8,0.89,0.7,0.76,0.57,0.62,0.03,0.62,0.8,0.73,0.78,0.39
stajistics.csv,0.17,0.16,0.29,0.72,0.1,0.49,0.17,0.13,0.29,0.62,0.31,0.88,0.56,0.53,0.03,0.5
trackit.csv,0.25,0.74,0.07,0.67,0.3,0.38,0.0,0.42,0.65,0.5,0.91,0.75,0.6,0.6,0.74,0.28
tweetsharp.csv,0.83,0.53,0.85,0.76,0.6,0.7,0.61,0.29,0.57,0.75,0.86,0.5,0.64,0.0,0.51,0.67
wxlua.csv,0.92,0.95,0.85,0.87,1.0,0.23,0.78,0.67,0.5,0.12,0.91,0.38,0.64,0.93,0.84,0.67
x4x.csv,0.0,0.89,0.16,0.28,0.6,0.43,0.78,0.62,0.55,0.62,0.43,0.75,0.53,0.6,0.72,0.61
xharbour.csv,1.0,0.05,0.56,0.8,0.9,0.85,0.91,0.82,0.91,0.62,0.94,0.62,0.91,0.87,0.91,0.89
