,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.29,0.37,0.85,0.91,0.16,0.35,0.56,0.33,0.8,0.09,0.28,0.83,0.39,0.12,0.43,0.32
betoffice.csv,0.02,0.33,0.15,0.18,0.33,0.13,0.24,0.87,0.34,0.39,0.28,0.23,0.32,0.17,0.3,0.35
bnetd.csv,0.79,0.93,0.7,0.82,0.64,0.7,0.2,0.73,0.72,0.39,0.95,0.91,0.75,0.67,0.63,0.79
elvishrayrenderer.csv,0.57,0.57,0.55,0.77,0.6,0.7,0.44,0.29,0.57,0.65,0.33,0.67,0.54,0.45,0.6,1.0
emisview.csv,0.31,0.0,0.2,0.59,0.38,1.0,0.22,0.27,0.34,0.0,0.0,0.28,0.21,0.14,0.47,0.06
findbugs.csv,0.38,0.52,0.5,0.27,0.27,0.35,0.29,0.31,0.36,0.4,0.49,0.26,0.96,0.21,0.23,0.26
hazelcast.csv,0.9,0.71,0.6,0.91,1.0,0.96,0.71,0.8,0.88,0.99,0.77,0.95,0.79,0.74,0.93,0.74
jitterbit.csv,0.38,0.71,0.7,0.32,0.44,0.39,0.17,0.2,0.94,0.31,0.51,0.13,0.46,0.45,0.6,0.32
jppf-project.csv,0.83,1.0,1.0,1.0,0.82,1.0,0.68,0.98,0.57,1.0,1.0,1.0,0.86,1.0,0.73,1.0
megasquirtavr.csv,0.93,0.21,0.7,0.64,0.87,0.91,0.71,0.69,0.83,0.28,0.08,0.74,0.82,0.38,0.87,0.44
stajistics.csv,0.36,0.21,0.35,0.91,0.42,0.61,0.17,0.09,0.46,0.48,0.23,0.53,0.68,0.62,1.0,0.62
trackit.csv,0.38,0.57,0.3,0.5,0.45,0.26,0.95,0.31,0.33,0.58,0.74,0.43,0.64,0.86,0.53,0.38
tweetsharp.csv,0.83,0.56,0.65,0.55,0.64,0.83,0.68,0.4,0.67,0.58,0.97,0.46,0.82,0.95,0.6,0.5
wxlua.csv,0.67,0.93,0.85,0.77,0.87,0.13,0.83,0.69,0.53,0.99,0.69,0.47,0.5,0.81,0.87,0.62
x4x.csv,1.0,0.87,0.3,0.5,0.73,0.39,0.83,0.42,0.42,0.52,0.23,0.73,0.36,0.31,0.73,0.24
xharbour.csv,0.95,1.0,0.8,0.64,0.91,0.87,0.98,0.78,0.91,0.58,0.95,0.72,0.96,0.86,0.93,0.97
