,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,0.0,0.0,0.0,0.0,0.3,0.26,0.23,0.14,0.06,0.14,0.3,0.13,0.75,0.22,0.39,0.24,0.06,0.03,0.1
botsnscouts.csv,0.61,0.66,0.61,0.72,0.81,0.24,0.49,0.23,0.73,0.41,0.7,0.32,0.17,0.09,0.75,0.36,0.56,0.67,0.82
bscwweasel.csv,0.6,0.1,0.65,0.4,0.56,0.38,0.51,0.3,0.4,0.38,0.4,0.14,0.09,0.15,0.56,0.3,0.31,0.49,0.73
bzbyte.csv,0.05,0.04,0.0,0.69,0.7,0.24,0.48,0.31,0.58,0.42,0.86,0.31,0.09,0.07,0.8,0.0,0.61,0.93,0.8
capcode.csv,0.46,0.06,0.64,0.18,0.71,0.25,0.42,0.48,0.59,0.47,0.8,0.29,0.11,0.06,0.7,0.3,0.42,0.96,0.57
emite.csv,0.51,0.65,0.26,0.44,0.19,0.18,0.57,0.12,0.38,0.46,0.83,0.27,0.17,0.22,0.46,0.33,0.71,0.16,0.39
fbmanager.csv,0.03,0.0,0.17,0.75,0.64,0.13,0.5,0.32,0.45,0.29,0.43,0.27,0.09,0.25,0.42,0.0,0.16,0.67,0.67
lcfizvtop.csv,0.43,0.1,0.59,0.57,0.68,0.28,0.63,0.3,0.67,0.45,0.73,0.55,0.08,0.15,0.74,0.37,0.34,0.71,0.58
mediaportal.csv,0.33,0.0,0.5,0.11,0.57,0.3,0.6,0.33,0.38,0.14,0.55,0.1,0.0,0.15,0.3,0.42,0.11,0.43,0.5
nodal.csv,0.43,0.06,0.54,0.39,0.79,0.23,0.41,0.37,0.54,0.59,0.53,0.24,0.0,0.05,0.29,0.29,0.24,0.64,0.72
paintown.csv,0.76,0.66,0.68,0.73,0.82,0.22,0.47,0.25,0.6,0.3,0.82,0.3,0.09,0.09,0.67,0.32,0.5,0.69,0.78
powerfolder.csv,0.54,0.58,0.34,0.63,0.61,0.21,0.61,0.14,0.43,0.26,0.39,0.41,0.2,0.48,0.53,0.32,0.16,0.24,0.41
retromenu.csv,0.14,0.69,0.29,0.51,0.43,0.19,0.69,0.11,0.6,0.44,0.66,0.32,0.0,0.37,0.49,0.36,0.51,0.37,0.29
smbopensoft.csv,0.52,0.8,0.71,0.29,0.65,0.19,0.39,0.11,0.53,0.4,0.86,0.32,0.1,0.08,0.68,0.3,0.61,0.96,0.68
sqlpower-library.csv,0.59,0.66,0.72,0.68,0.8,0.25,0.66,0.3,0.67,0.42,0.82,0.31,0.09,0.1,0.76,0.32,0.58,0.95,0.55
st-filteredstatistics.csv,0.66,0.64,0.69,0.65,0.77,0.23,0.51,0.26,0.81,0.39,0.86,0.22,0.12,0.07,0.75,0.34,0.49,0.88,0.72
triplea.csv,0.59,0.61,0.76,0.62,0.77,0.19,0.49,0.18,0.55,0.38,0.86,0.4,0.14,0.12,0.61,0.35,0.54,0.87,0.76
uface.csv,0.66,0.66,0.66,0.72,0.64,0.37,0.58,0.26,0.72,0.32,0.85,0.44,0.09,0.11,0.81,0.37,0.56,0.93,0.96
