,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,140.0,199.0,52.0,64.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,29.0,0.0,0.0,0.0
botsnscouts.csv,5.0,0.0,5.0,0.0,0.0,3.0,12.0,27.0,1.0,1.0,1.0,2.0,8.0,54.0,0.0,2.0,0.0,0.0,0.0
bscwweasel.csv,3.0,1.0,0.0,0.0,0.0,9.0,7.0,4.0,2.0,1.0,0.0,23.0,34.0,24.0,0.0,41.0,6.0,0.0,2.0
bzbyte.csv,4.0,1.0,52.0,1.0,0.0,41.0,13.0,0.0,5.0,1.0,0.0,0.0,35.0,84.0,0.0,636.0,3.0,0.0,0.0
capcode.csv,3.0,1.0,1.0,0.0,0.0,39.0,7.0,0.0,6.0,0.0,1.0,6.0,26.0,72.0,1.0,23.0,3.0,0.0,0.0
emite.csv,4.0,0.0,0.0,1.0,0.0,15.0,7.0,4.0,4.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0
fbmanager.csv,0.0,199.0,0.0,1.0,0.0,3.0,6.0,4.0,0.0,2.0,2.0,17.0,33.0,5.0,1.0,636.0,0.0,0.0,0.0
lcfizvtop.csv,1.0,0.0,1.0,0.0,0.0,14.0,6.0,0.0,1.0,0.0,1.0,0.0,4.0,28.0,0.0,3.0,3.0,0.0,0.0
mediaportal.csv,5.0,199.0,0.0,1.0,0.0,8.0,4.0,2.0,3.0,3.0,0.0,4.0,64.0,5.0,0.0,0.0,0.0,0.0,0.0
nodal.csv,3.0,0.0,1.0,1.0,0.0,13.0,8.0,9.0,1.0,0.0,2.0,0.0,64.0,72.0,0.0,23.0,0.0,0.0,0.0
paintown.csv,0.0,1.0,2.0,1.0,0.0,49.0,12.0,0.0,6.0,1.0,0.0,16.0,31.0,79.0,0.0,12.0,3.0,0.0,0.0
powerfolder.csv,2.0,1.0,1.0,0.0,0.0,19.0,2.0,14.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0,1.0,0.0,0.0
retromenu.csv,0.0,1.0,2.0,0.0,1.0,19.0,0.0,4.0,0.0,0.0,0.0,1.0,64.0,3.0,0.0,2.0,1.0,0.0,0.0
smbopensoft.csv,3.0,0.0,1.0,0.0,0.0,30.0,13.0,12.0,5.0,7.0,0.0,0.0,28.0,72.0,0.0,21.0,1.0,0.0,1.0
sqlpower-library.csv,3.0,1.0,0.0,0.0,0.0,36.0,4.0,0.0,6.0,1.0,1.0,0.0,35.0,64.0,2.0,23.0,3.0,0.0,0.0
st-filteredstatistics.csv,5.0,1.0,2.0,8.0,0.0,27.0,13.0,0.0,2.0,1.0,0.0,21.0,11.0,90.0,0.0,17.0,3.0,0.0,0.0
triplea.csv,2.0,0.0,1.0,1.0,0.0,37.0,11.0,0.0,3.0,0.0,0.0,4.0,17.0,46.0,0.0,3.0,3.0,0.0,0.0
uface.csv,1.0,1.0,0.0,1.0,2.0,4.0,1.0,10.0,3.0,0.0,0.0,6.0,35.0,56.0,1.0,0.0,2.0,1.0,0.0
