,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,0.0,0.0,0.0,0.0,0.88,0.91,0.8,0.5,0.8,0.8,0.86,0.75,0.8,0.75,0.73,0.68,0.5,0.0,0.88
botsnscouts.csv,0.44,0.27,0.38,0.36,0.33,0.47,0.34,0.35,0.44,0.34,0.37,0.75,0.39,0.35,0.37,0.39,0.41,0.41,0.38
bscwweasel.csv,0.49,0.83,0.4,0.94,0.52,0.62,0.4,0.5,0.69,0.75,0.73,0.66,0.42,0.72,0.5,0.62,0.8,0.58,0.48
bzbyte.csv,0.83,0.67,0.0,0.43,0.4,0.47,0.33,0.36,0.36,0.33,0.29,0.39,0.4,0.34,0.42,0.0,0.37,0.35,0.42
capcode.csv,0.61,0.75,0.35,0.91,0.46,0.52,0.55,0.63,0.45,0.47,0.32,0.55,0.45,0.41,0.47,0.49,0.51,0.32,0.61
emite.csv,0.64,0.44,0.83,0.62,0.83,0.78,0.48,0.71,0.8,0.92,0.29,0.73,0.6,0.75,0.62,0.52,0.48,0.8,0.9
fbmanager.csv,0.5,0.0,0.67,0.43,0.39,0.91,0.44,0.47,0.62,0.92,0.59,0.56,0.38,0.67,0.58,0.0,0.86,0.41,0.46
lcfizvtop.csv,0.65,0.83,0.41,0.5,0.33,0.51,0.33,0.38,0.38,0.37,0.31,0.5,0.48,0.53,0.33,0.34,0.45,0.41,0.43
mediaportal.csv,0.88,0.0,0.56,0.67,0.48,0.57,0.5,0.67,0.7,0.8,0.47,0.89,0.83,0.88,0.9,0.56,0.75,0.56,0.62
nodal.csv,0.68,0.67,0.42,0.96,0.38,0.55,0.48,0.65,0.52,0.64,0.56,0.57,0.65,0.41,0.91,0.46,0.91,0.48,0.44
paintown.csv,0.42,0.27,0.45,0.41,0.39,0.45,0.37,0.36,0.34,0.37,0.31,0.51,0.39,0.38,0.49,0.42,0.53,0.5,0.43
powerfolder.csv,0.51,0.35,0.89,0.39,0.55,0.47,0.37,0.49,0.8,0.65,0.75,0.44,0.65,0.94,0.45,0.7,0.83,0.88,0.7
retromenu.csv,0.8,0.51,0.89,0.47,0.73,0.72,0.36,0.62,0.43,0.92,0.45,0.62,0.0,0.91,0.56,0.58,0.62,0.69,0.94
smbopensoft.csv,0.54,0.41,0.32,0.93,0.51,0.65,0.44,0.76,0.46,0.86,0.29,0.63,0.39,0.38,0.47,0.41,0.41,0.34,0.51
sqlpower-library.csv,0.43,0.27,0.3,0.41,0.46,0.53,0.32,0.4,0.31,0.39,0.3,0.39,0.4,0.35,0.36,0.37,0.43,0.33,0.59
st-filteredstatistics.csv,0.41,0.27,0.33,0.43,0.42,0.49,0.35,0.39,0.37,0.35,0.34,0.56,0.5,0.37,0.4,0.35,0.46,0.36,0.48
triplea.csv,0.48,0.32,0.46,0.42,0.38,0.5,0.34,0.46,0.46,0.38,0.31,0.46,0.41,0.45,0.51,0.39,0.48,0.36,0.44
uface.csv,0.44,0.27,0.29,0.36,0.38,0.47,0.31,0.39,0.33,0.45,0.28,0.4,0.4,0.34,0.34,0.34,0.45,0.33,0.38
